accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
BML7203210,BML00546;BML00554;BML00562,545839,CC(C)(C)C1(CC2C3(C14C(C(=O)OC4OC3=O)O)CC(=O)O2)O,3.463,min,MOLPUWBMSBJXER-UHFFFAOYSA-N,[M-H]-
BML6822394,BML00677,557758,CCC=CCC1C(CCC1=O)CC(=O)O,6.706,min,ZNJFBWYDHIGLCU-UHFFFAOYSA-N,[M-H]-
BML0868473,BML01522;BML01530;BML01514,592738,C1=CC(=CC=C1CC(=O)C2=C(C=C(C=C2O)O)O)Cl,7.994,min,POUZLUJYBWGJJO-UHFFFAOYSA-N,[M-H]-
BML7784358,BML00591;BML00601;BML00596,619166,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C,12.039,min,MIJYXULNPSFWEK-UHFFFAOYSA-N,[M-H]-
BML3571539,BML00383;BML00377;BML00389,630921,C1CC(C(C2C1CN3CCC4=C(C3C2)NC5=CC=CC=C45)C(=O)O)O,3.216,min,AADVZSXPNRLYLV-UHFFFAOYSA-N,[M-H]-
BML6211802,BML00504;BML00496,643606,COC(=O)[C@@H]1[C@H](CC[C@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,3.317,min,BLGXFZZNTVWLAY-DIRVCLHFSA-N,[M-H]-
BML1412450,BML00203;BML00229;BML00216,644959,CC(=CCOC1=C(C=C2C=CC(=O)OC2=C1O)OC)C,7.753,min,QJZRVRVZRIXGMR-UHFFFAOYSA-N,[M-H]-
BML5813225,BML00045;BML00053,648601,CC1(C=CC2=C(O1)C3=C(C=CC(=C3)OC)NC2=O)C,8.5,min,IXRKDGGGFFCRIR-UHFFFAOYSA-N,[M-H]-
BML3752369,BML00152;BML00135;BML00137;BML00145,667544,C1[C@@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,7.874,min,URFCJEUYXNAHFI-CYBMUJFWSA-N,[M-H]-
BML9266424,BML01252;BML01240;BML01246,676030,C1=CC(=CC(=C1)O)C2=CC(=O)C3=C(O2)C=CC=C3O,8.479,min,SZMQXDYEGKRZDG-UHFFFAOYSA-N,[M-H]-
BML4560482,BML00333;BML00343;BML00338,676295,C1=CC=C2C(=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)O)O,7.772,min,QZESEGHSLFKZIV-UHFFFAOYSA-N,[M-H]-
BML0473355,BML00335,676296,COC1=CC=CC(=C1)C2=C(C(=O)C3=CC=CC=C3O2)O,9.139,min,GYLGASXCHFNKHD-UHFFFAOYSA-N,[M-H]-
BML6005349,BML00336;BML00346;BML00341,676302,C1=CC=C2C(=C1)C=CC3=C2OC(=CC3=O)C4=CC=CC=C4O,9.704,min,ZKMLQDNHMSFULN-UHFFFAOYSA-N,[M-H]-
BML7121996,BML01529;BML01513;BML01521,688661,C1=CC=C(C(=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O)O,7.464,min,YCGXYGWBHFKQHY-UHFFFAOYSA-N,[M-H]-
BML9747348,BML01741;BML01748;BML01734,688788,CCOC1=CC2=C(C=C1)OC(=O)C(=C2C)C3=CC=C(C=C3)O,8.592,min,MOBDZHABRVPJCH-UHFFFAOYSA-N,[M-H]-
BML2332326,BML01861;BML01851;BML01841,688827,COC1=CC(=CC(=C1OC)OC)C2=C(C(=O)C3=CC=CC=C3O2)O,9.258,min,MWFLTXAQDCOKEK-UHFFFAOYSA-N,[M-H]-
BML4322733,BML01682;BML01692;BML01702,688836,COC1=CC2=C(C=C1)C(=O)C(=C(O2)C3=CC(=CC=C3)OC)O,9.51,min,PFMGWOVPHHEHAL-UHFFFAOYSA-N,[M-H]-
BML6970089,BML00308;BML00312;BML00316,969516,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,9.503,min,VFLDPWHFBUODDF-FCXRPNKRSA-N,[M-H]-
BML5095241,BML00629;BML00633,1548943,CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC,8.907,min,YKPUWZUDDOIDPM-SOFGYWHQSA-N,[M-H]-
BML0505775,BML01843;BML01833,1712147,C1=CC=C(C=C1)COC(=O)N[C@H](CC(=O)N)C(=O)O,3.51,min,FUCKRCGERFLLHP-SECBINFHSA-N,[M-H]-
BML3871604,BML01837,2724160,CC(=C)[C@H]1CCC(=CC1)C(=O)O,7.68,min,CDSMSBUVCWHORP-MRVPVSSYSA-N,[M-H]-
BML5470934,BML00062;BML00054;BML00046,2846880,CC1CC2(C3C(C1(COC3C4=CC=CC=C4O2)COC(=O)NC5=CC=CC=C5)C)C,10.302,min,UONFBIWUOHBYQS-UHFFFAOYSA-N,[M-H]-
BML3446896,BML01452;BML01459;BML01445,2868728,C1=NC2=C(C(=N1)N)NC(=S)N2C3C(C(C(O3)CO)O)O,2.434,min,QILZVYQRHGBEAR-UHFFFAOYSA-N,[M-H]-
BML2099081,BML00049;BML00041,2907920,COC1=CC=CC=C1CC(CC2=NC3=CC=CC=C3N2)C4=NC5=CC=CC=C5N4,6.709,min,FQFJIJMMCVBRBL-UHFFFAOYSA-N,[M-H]-
BML0016486,BML01370;BML01372;BML01374,2946267,CC1(C2CCC1(C(C2)OC(=O)C3=CC(=C(C=C3)O)OC)C)C,10.281,min,KTOAGBIQQPGNIR-UHFFFAOYSA-N,[M-H]-
BML5239599,BML01799;BML01793;BML01787,3037652,COC1=CC=C(C=C1)C(=O)NC2=NC(=O)N(C=C2)C3C[C@H]([C@@H](O3)CO)O,5.844,min,ZASFNFUJGOZQBW-NEJHNUGDSA-N,[M-H]-
BML0872493,BML00147;BML00140;BML00154,3144815,CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=CC=C3)O)O)C,10.124,min,DAWSYIQAGQMLFS-UHFFFAOYSA-N,[M-H]-
BML6295872,BML01455;BML01462;BML01448,3300105,CCN(CC)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)O)O,5.214,min,AVNJCDRLZOVEDM-UHFFFAOYSA-N,[M-H]-
BML1119106,BML00894;BML00899;BML00904,3327183,CC1=CCC(C(=CC(C(CCC1)(C)C)O)C)OC(=O)C2=CC=C(C=C2)O,10.662,min,JDZBITULCWBIMC-UHFFFAOYSA-N,[M-H]-
BML3164137,BML01700;BML01680;BML01690,3579737,COC1=C(C=C(C=C1)CCNC2=NC(=NC(=N2)N3CC4CC(C3)C5=CC=CC(=O)N5C4)Cl)OC,8.591,min,DRVRFMGQMHIZLI-UHFFFAOYSA-N,[M-H]-
BML1262757,BML01696;BML01686;BML01676,3794292,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)OC4C(C(C(C(O4)CO)O)O)O,5.069,min,DEMKZLAVQYISIA-UHFFFAOYSA-N,[M-H]-
BML8992161,BML01634;BML01618;BML01626,3818047,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(C(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)OC)O)O)O)O)O)O,7.351,min,DUXQKCCELUKXOE-UHFFFAOYSA-N,[M-H]-
