accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
BML5653376,BML01174;BML01165,860,CCC=CCC=CCC=CCCCCCCCC(=O)O,11.536,min,DTOSIQBPPRVQHS-UHFFFAOYSA-N,[M-H]-
BML9605322,BML01306;BML01301,864,C1CSSC1CCCCC(=O)O,6.545,min,AGBQKNBQESQNJD-UHFFFAOYSA-N,[M-H]-
BML8530734,BML00738;BML00731;BML00724,896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,5.009,min,DRLFMBDRBRZALE-UHFFFAOYSA-N,[M-H]-
BML9887154,BML00843;BML00857;BML00850,914,CNC(CC1=CNC2=CC=CC=C21)C(=O)O,1.537,min,CZCIKBSVHDNIDH-UHFFFAOYSA-N,[M-H]-
BML3871406,BML00692;BML00684;BML00676,932,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,6.647,min,FTVWIRXFELQLPI-UHFFFAOYSA-N,[M-H]-
BML0403182,BML00091;BML00087,1072,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O,4.275,min,AUNGANRZJHBGPY-UHFFFAOYSA-N,[M-H]-
BML7223616,BML01061,1094,C1C(C(C(C=C1C(=O)O)O)O)O,0.386,min,JXOHGGNKMLTUBP-UHFFFAOYSA-N,[M-H]-
BML0308422,BML01032,1134,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,1.554,min,IQFYYKKMVGJFEH-UHFFFAOYSA-N,[M-H]-
BML0912010,BML01213;BML01208;BML01203,1148,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,1.255,min,QIVBCDIJIAJPQS-UHFFFAOYSA-N,[M-H]-
BML8337550,BML01101;BML01095,1153,C1=CC(=CC=C1CC(C(=O)O)N)O,0.389,min,OUYCCCASQSFEME-UHFFFAOYSA-N,[M-H]-
BML2843424,BML00626;BML00630;BML00634,1203,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,2.546,min,PFTAWBLQPZVEMU-UHFFFAOYSA-N,[M-H]-
BML2745647,BML01244;BML01238,1814,CCC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,2.447,min,XACKNLSZYYIACO-UHFFFAOYSA-N,[M-H]-
BML1646311,BML00722;BML00729,2518,C1=CC(=C(C=C1C=CC(=O)O)O)O,2.971,min,QAIPRVGONGVQAS-UHFFFAOYSA-N,[M-H]-
BML9243447,BML00453;BML00443;BML00463,2538,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,7.594,min,VSJKWCGYPAHWDS-UHFFFAOYSA-N,[M-H]-
BML4060720,BML01336;BML01341,2975,CC(CCC(=O)O)C1CCC2C1(C(=O)CC3C2C(=O)CC4C3(CCC(=O)C4)C)C,8.153,min,OHXPGWPVLFPUSM-UHFFFAOYSA-N,[M-H]-
BML5909728,BML00516;BML00508;BML00500,3065,CC(C)C1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C,7.11,min,DEQITUUQPICUMR-UHFFFAOYSA-N,[M-H]-
BML3871930,BML01511;BML01519;BML01527,3165,C1=C2C(=CC(=C1Cl)Cl)N(C=N2)C3C(C(C(O3)CO)O)O,5.52,min,XHSQDZXAVJRBMX-UHFFFAOYSA-N,[M-H]-
BML9001366,BML00501;BML00509;BML00517,3230,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,11.681,min,MPDGHEJMBKOTSU-UHFFFAOYSA-N,[M-H]-
BML0259090,BML00307;BML00315;BML00311,3593,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,7.053,min,AIONOLUJZLIMTK-UHFFFAOYSA-N,[M-H]-
BML7589328,BML00846,3825,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,7.851,min,DKYWVDODHFEZIM-UHFFFAOYSA-N,[M-H]-
BML2189486,BML00737;BML00723;BML00730,3830,C1=COC(=C1)CNC2=NC=NC3=C2NC=N3,4.385,min,QANMHLXAZMSUEX-UHFFFAOYSA-N,[M-H]-
BML8071627,BML00089,3840,C1=C(OC=C(C1=O)O)CO,0.788,min,BEJNERDRQOWKJM-UHFFFAOYSA-N,[M-H]-
BML2951396,BML00950;BML00944;BML00938,4140,CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,3.314,min,UNBRKDKAWYKMIV-UHFFFAOYSA-N,[M-H]-
BML9156193,BML00261;BML00275;BML00268,4272,CC1=C(C(=C(C2=C1COC2=O)O)CC=C(C)CCC(=O)O)OC,8.089,min,HPNSFSBZBAHARI-UHFFFAOYSA-N,[M-H]-
BML4945041,BML01161;BML01170;BML01179,4441,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,5.458,min,DFPMSGMNTNDNHN-UHFFFAOYSA-N,[M-H]-
BML5559064,BML00392;BML00386;BML00380,4534,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,7.905,min,HCZKYJDFEPMADG-UHFFFAOYSA-N,[M-H]-
BML6904968,BML00954;BML00948;BML00942,4666,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,9.64,min,RCINICONZNJXQF-UHFFFAOYSA-N,[M-H]-
BML4240151,BML01168;BML01159,4678,CC(C)(CO)C(C(=O)NCCCO)O,1.629,min,SNPLKNRPJHDVJA-UHFFFAOYSA-N,[M-H]-
BML7282836,BML00590;BML00595;BML00600,4788,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,6.714,min,VGEREEWJJVICBM-UHFFFAOYSA-N,[M-H]-
BML8724489,BML00593;BML00598;BML00588,4789,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O,5.265,min,IOUVKUPGCMBWBT-UHFFFAOYSA-N,[M-H]-
BML9618402,BML00671;BML00687;BML00679,4815,CC12C3C4C(C(C1(CC5C2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O,3.702,min,RYEFFICCPKWYML-UHFFFAOYSA-N,[M-H]-
BML3908157,BML00680;BML00672;BML00688,4816,CC(=C)C1C2C3C4(C(C1C(=O)O2)(CC5C4(O5)C(=O)O3)O)C,4.208,min,PIMZUZSSNYHVCU-UHFFFAOYSA-N,[M-H]-
