accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
EQ909833,EQ368752;EQ368756;EQ368755;EQ368753;EQ368751;EQ368757;EQ368759;EQ368754;EQ368758,3928,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,3.7,min,OJMMVQQUTAEWLP-UHFFFAOYSA-N,[M-H]-
EQ589855,EQ279457;EQ279453;EQ279455;EQ279451;EQ279452;EQ279458;EQ279459;EQ279454;EQ279456,3961,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,9.0,min,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,[M-H]-
EQ982014,EQ366857;EQ366858;EQ366854;EQ366851;EQ366852;EQ366859;EQ366855;EQ366856;EQ366853,4030,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,7.5,min,OPXLLQIJSORQAM-UHFFFAOYSA-N,[M-H]-
EQ474066,EQ369054;EQ369057;EQ369053;EQ369056;EQ369055;EQ369052;EQ369051,4037,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl,13.9,min,SBDNJUWAMKYJOX-UHFFFAOYSA-N,[M-H]-
EQ924304,EQ369157;EQ369156;EQ369158;EQ369151;EQ369159;EQ369155;EQ369152;EQ369154;EQ369153,4488,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,12.9,min,JZFPYUNJRRFVQU-UHFFFAOYSA-N,[M-H]-
EQ431619,EQ368256;EQ368255;EQ368252;EQ368258;EQ368251;EQ368257;EQ368254;EQ368259;EQ368253,4490,CC1CCC(OC1C(C)C(=O)O)CC2CC(C(C3(O2)C(CC(O3)(C)C4CCC(O4)(C)C5C(CC(O5)C6C(CC(C(O6)(CO)O)C)C)C)C)C)OC,19.7,min,DANUORFCFTYTSZ-UHFFFAOYSA-N,[M-H]-
EQ110755,EQ368358;EQ368351;EQ368356;EQ368359;EQ368355;EQ368354;EQ368352;EQ368353;EQ368357,4506,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3,7.7,min,KJONHKAYOJNZEC-UHFFFAOYSA-N,[M-H]-
EQ180344,EQ334954;EQ334955;EQ334951;EQ334959;EQ334952;EQ334958;EQ334956;EQ334957;EQ334953,4547,CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,9.9,min,FAEKWTJYAYMJKF-UHFFFAOYSA-N,[M-H]-
EQ045777,EQ362452;EQ362454;EQ362455;EQ362453;EQ362451,4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,6.0,min,DDBREPKUVSBGFI-UHFFFAOYSA-N,[M-H]-
EQ992518,EQ361553;EQ361552;EQ361559;EQ361554;EQ361555;EQ361556;EQ361551;EQ361557;EQ361558,4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,11.2,min,VYMDGNCVAMGZFE-UHFFFAOYSA-N,[M-H]-
EQ766047,EQ363353;EQ363356;EQ363351;EQ363354;EQ363352;EQ363357;EQ363359;EQ363358;EQ363355,5291,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,5.8,min,KTUFNOKKBVMGRW-UHFFFAOYSA-N,[M-H]-
EQ292600,EQ363452;EQ363455;EQ363453;EQ363459;EQ363457;EQ363458;EQ363454;EQ363456;EQ363451,5433,CS(=O)(=O)C1=CC=C(C=C1)C(C(CO)NC(=O)C(Cl)Cl)O,3.5,min,OTVAEFIXJLOWRX-UHFFFAOYSA-N,[M-H]-
EQ695387,EQ363552;EQ363555;EQ363557;EQ363559;EQ363551;EQ363553;EQ363554;EQ363556;EQ363558,5514,CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C,6.1,min,KJADKKWYZYXHBB-UHFFFAOYSA-N,[M-H]-
EQ182580,EQ016854;EQ016855;EQ016856;EQ016858;EQ016857;EQ016853,5564,C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,14.8,min,XEFQLINVKFYRCS-UHFFFAOYSA-N,[M-H]-
EQ891979,EQ357551;EQ357556;EQ357554;EQ357555;EQ357553;EQ357552,6028,C1=C(C(=C(C(=C1Cl)Cl)Cl)O)Cl,13.4,min,VGVRPFIJEJYOFN-UHFFFAOYSA-N,[M-H]-
EQ922679,EQ320759;EQ320751;EQ320753;EQ320758;EQ320757;EQ320756;EQ320755;EQ320752;EQ320754,6196,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,8.4,min,UWYHMGVUTGAWSP-JKIFEVAISA-N,[M-H]-
