accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
RP57326643,RP015312;RP015311;RP015313,10457,C(CCCC(=O)O)CCC(=O)O,3.095,min,TYFQFVWCELRYAO-UHFFFAOYSA-N,[M-H]-,C8H14O4
RP17078921,RP015512;RP015513;RP015511,11970,C1=CC=C(C(=C1)CC(=O)O)O,3.029,min,CCVYRRGZDBSHFU-UHFFFAOYSA-N,[M-H]-,C8H8O3
RP94453420,RP017711;RP017713;RP017712,12038,CCOC(=O)C1=CC(=C(C=C1)O)OC,4.069,min,MWAYRGBWOVHDDZ-UHFFFAOYSA-N,[M-H]-,C10H12O4
RP70884736,RP015611;RP015612;RP015613,12122,C1=CC(=CC(=C1)O)CC(=O)O,2.85,min,FVMDYYGIDFPZAX-UHFFFAOYSA-N,[M-H]-,C8H8O3
RP25716604,RP015813;RP015811;RP015812,12292,CC(CCC(=O)O)CC(=O)O,2.732,min,SYEOWUNSTUDKGM-UHFFFAOYSA-N,[M-H]-,C7H12O4
RP01427378,RP031511;RP031512;RP031513,15047,C1=C(C(=O)NC(=O)N1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,0.643,min,PTJWIQPHWPFNBW-GBNDHIKLSA-N,[M-H]-,C9H12N2O6
RP24940489,RP023411,19233,C[C@@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O,0.604,min,PNNNRSAQSRJVSB-BXKVDMCESA-N,[M-H]-,C6H12O5
RP18093591,RP002211,21236,CCCC[C@@H](C(=O)O)N,1.099,min,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,[M-H]-,C6H13NO2
RP75933162,RP030612;RP030611,24405,CC(=CCNC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C,3.153,min,USVMJSALORZVDV-SDBHATRESA-N,[M-H]-,C15H21N5O4
RP03747113,RP001411;RP001412,33032,C(CC(=O)O)[C@@H](C(=O)O)N,0.601,min,WHUUTDBJXJRKMK-VKHMYHEASA-N,[M-H]-,C5H9NO4
RP86481071,RP017912;RP017911;RP017913,65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,2.833,min,WMBWREPUVVBILR-WIYYLYMNSA-N,[M-H]-,C22H18O11
RP14000197,RP023311,66308,C([C@H]([C@H]([C@@H](C=O)O)O)O)O,0.631,min,PYMYPHUHKUWMLA-WDCZJNDASA-N,[M-H]-,C5H10O5
RP65289876,RP001011,69435,C[C@@H]([C@H](C(=O)O)N)O,0.603,min,AYFVYJQAPQTCCC-STHAYSLISA-N,[M-H]-,C4H9NO3
RP86371113,RP016413;RP016412;RP016411,70910,CC(C)C[C@@H](C(=O)NCC(=O)NCC(=O)O)N,0.779,min,VWHGTYCRDRBSFI-ZETCQYMHSA-N,[M-H]-,C10H19N3O4
RP38956147,RP023111,92817,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@@]2(CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)CO)O)O)O)O)O,0.603,min,QWIZNVHXZXRPDR-WSCXOGSTSA-N,[M-H]-,C18H32O16
RP82428775,RP032211;RP032212;RP032213,92918,CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,0.656,min,ZAYHVCMSTBRABG-JXOAFFINSA-N,[M-H]-,C10H15N3O5
RP86310968,RP016512;RP016511;RP016513,96814,C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)N,2.427,min,OMNVYXHOSHNURL-WPRPVWTQSA-N,[M-H]-,C12H16N2O3
RP67997463,RP012912,99223,CC1=CC=CC(=C1)C(=O)NCC(=O)O,9.554,min,YKAKNMHEIJUKEX-UHFFFAOYSA-N,[M-H]-,C10H11NO3
RP60886750,RP020813;RP020812;RP020811,119133,CCCC(=O)CC(=O)NC1CCOC1=O,2.746,min,YRYOXRMDHALAFL-UHFFFAOYSA-N,[M-H]-,C10H15NO4
RP08319337,RP021111;RP021113;RP021112,127864,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,5.292,min,PHSRRHGYXQCRPU-UHFFFAOYSA-N,[M-H]-,C16H27NO4
RP27407682,RP021311;RP021313;RP021312,130846,CC(CC(=O)NC1CCOC1=O)O,0.903,min,FIXDIFPJOFIIEC-UHFFFAOYSA-N,[M-H]-,C8H13NO4
RP97894247,RP001711;RP001712,145742,C1C[C@H](NC1)C(=O)O,0.627,min,ONIBWKKTOPOVIA-BYPYZUCNSA-N,[M-H]-,C5H9NO2
RP34074714,RP030213;RP030212;RP030211,159655,C[C@H](CCC(=O)O)[C@@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CCC(=O)C4)C)O)O)C,4.643,min,OEKUSRBIIZNLHZ-YXRVOZSUSA-N,[M-H]-,C24H38O5
RP61340382,RP002112;RP002111,164608,CC(C)(C)[C@@H](C(=O)O)N,0.762,min,NPDBDJFLKKQMCM-SCSAIBSYSA-N,[M-H]-,C6H13NO2
RP40448877,RP021913;RP021911;RP021912,171548,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,2.796,min,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,[M-H]-,C10H16N2O3S
RP94454909,RP018711;RP018712,193025,C1=CC(=C2C(=C1)N=C3C(=N2)C=CC=C3C(=O)O)C(=O)O,4.033,min,MJALVONLCNWZHK-UHFFFAOYSA-N,[M-H]-,C14H8N2O4
RP72884075,RP016011;RP016012;RP016013,439232,CC(=O)N[C@@H](CCCN)C(=O)O,0.604,min,JRLGPAXAGHMNOL-LURJTMIESA-N,[M-H]-,C7H14N2O3
RP66037725,RP014611;RP014612,439258,C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N,0.563,min,ILRYLPWNYFXEMH-WHFBIAKZSA-N,[M-H]-,C7H14N2O4S
RP18934789,RP022812;RP022811;RP022813,439357,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O,0.576,min,WQZGKKKJIJFFOK-PHYPRBDBSA-N,[M-H]-,C6H12O6
RP90685077,RP023513;RP023512;RP023511,439709,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O,0.602,min,RFSUNEUAIZKAJO-ARQDHWQXSA-N,[M-H]-,C6H12O6
RP17953111,RP023213;RP023212,441422,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O)O,0.578,min,DLRVVLDZNNYCBX-LIZSDCNHSA-N,[M-H]-,C12H22O11
RP48819296,RP018312;RP018311,444539,C1=CC=C(C=C1)/C=C/C(=O)O,3.952,min,WBYWAXJHAXSJNI-VOTSOKGWSA-N,[M-H]-,C9H8O2
RP22914747,RP032011,445408,CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,0.822,min,DWRXFEITVBNRMK-JXOAFFINSA-N,[M-H]-,C10H14N2O6
RP78002336,RP029611;RP029612,445580,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,6.764,min,MBMBGCFOFBJSGT-KUBAVDMBSA-N,[M-H]-,C22H32O2
RP89937021,RP029011;RP029012,445639,CCCCCCCC/C=C\CCCCCCCC(=O)O,7.283,min,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,[M-H]-,C18H34O2
RP21707272,RP030511;RP030512,446284,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,6.58,min,JAZBEHYOTPTENJ-JLNKQSITSA-N,[M-H]-,C20H30O2
RP71610326,RP015913;RP015911;RP015912,450272,C1=CC=C(C=C1)C(=O)NC(C(=O)O)O,3.109,min,GCWCVCCEIQXUQU-UHFFFAOYSA-N,[M-H]-,C9H9NO4
RP67200939,RP029311;RP029313;RP029312,459070,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)OS(=O)(=O)O)O)C,4.049,min,RRVLNNMINXAIKC-OELDTZBJSA-N,[M-H]-,C24H40O8S
RP35306248,RP013111;RP013113;RP013112,493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,2.758,min,AUNGANRZJHBGPY-SCRDCRAPSA-N,[M-H]-,C17H20N4O6
RP04483305,RP016813;RP016812;RP016811,637542,C1=CC(=CC=C1/C=C/C(=O)O)O,3.019,min,NGSWKAQJJWESNS-ZZXKWVIFSA-N,[M-H]-,C9H8O3
RP57895474,RP017413;RP017411;RP017412,637775,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)O,3.149,min,PCMORTLOPMLEFB-ONEGZZNKSA-N,[M-H]-,C11H12O5
RP67568749,RP016712;RP016711;RP016713,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,2.696,min,QAIPRVGONGVQAS-DUXPYHPUSA-N,[M-H]-,C9H8O4
RP29617686,RP020913;RP020911;RP020912,4476497,CCCCCC(=O)CC(=O)NC1CCOC1=O,3.786,min,FXCMGCFNLNFLSH-UHFFFAOYSA-N,[M-H]-,C12H19NO4
RP51645644,RP012412;RP012411;RP012413,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,3.82,min,REFJWTPEDVJJIY-UHFFFAOYSA-N,[M-H]-,C15H10O7
RP42849677,RP015112;RP015111;RP015113,5280443,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,3.949,min,KZNIFHPLKGYRTM-UHFFFAOYSA-N,[M-H]-,C15H10O5
RP97567430,RP029512;RP029511,5280450,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,6.953,min,OYHQOLUKZRVURQ-HZJYTTRNSA-N,[M-H]-,C18H32O2
RP14148247,RP017111;RP017113;RP017112,5280804,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,3.122,min,OVSQVDMCBVZWGM-QSOFNFLRSA-N,[M-H]-,C21H20O12
RP08496693,RP014311;RP014312,5280933,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,6.703,min,VZCCETWTMQHEPK-QNEBEIHSSA-N,[M-H]-,C18H30O2
RP71772042,RP030412;RP030411,5280934,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,6.664,min,DTOSIQBPPRVQHS-PDBXOOCHSA-N,[M-H]-,C18H30O2
RP73805768,RP017612;RP017611;RP017613,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,3.962,min,TZBJGXHYKVUXJN-UHFFFAOYSA-N,[M-H]-,C15H10O5
RP50361800,RP018111;RP018112;RP018113,5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,3.597,min,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,[M-H]-,C15H10O4
RP25044513,RP030013;RP030012;RP030011,5283821,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,4.562,min,DGABKXLVXPYZII-PLYQRAMGSA-N,[M-H]-,C24H40O4
RP63457120,RP030111;RP030112;RP030113,5283870,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@@H](C4)O)C)O)O)C,4.263,min,BHQCQFFYRZLCQQ-UXWVVXDJSA-N,[M-H]-,C24H40O5
RP53282930,RP022711;RP022712,5311110,C([C@H]([C@H]([C@H](C=O)O)O)O)O,0.616,min,PYMYPHUHKUWMLA-LMVFSUKVSA-N,[M-H]-,C5H10O5
RP66587985,RP021711;RP021712;RP021713,11507677,CCCCCCCCCC(CC(=O)NC1CCOC1=O)O,5.057,min,RGTXFFYJJNWEPV-UHFFFAOYSA-N,[M-H]-,C16H29NO4
RP16649246,RP020712;RP020713;RP020711,11513882,CC(=O)CC(=O)NC1CCOC1=O,0.954,min,FIHPLICEAUNEFV-UHFFFAOYSA-N,[M-H]-,C8H11NO4
