accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
UT632801,UT001150;UT001889;UT002622,134774665,CCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,37.56,min,VWYTUCQACXRPSI-QIPJBBGZSA-N,[M-H]-
UT732114,UT002692;UT001471;UT001960;UT002939;UT001218;UT002211,134775042,CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,5.8,min,WAHLPBOVXFIGAP-YARNEYDXSA-N,[M-H]-
UT364003,UT001390;UT002130;UT002859,134775365,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,14.9,min,WDBJINMJHHHMJV-WRGXGLASSA-N,[M-H]-
UT744346,UT001886;UT002619,134775841,CCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\CCCCCCCCC,34.71,min,WHRINFUMSAOXIM-UEZFOCAYSA-N,[M-H]-
UT476872,UT002626;UT001893,134775902,CCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,33.78,min,WIFLVHIKWGINAQ-ZVJYVBFZSA-N,[M-H]-
UT745446,UT001099;UT002095;UT002824;UT001837;UT001355;UT002568,134775923,CCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,14.02,min,WIJRNOBSWIZHST-JTURFRPLSA-N,[M-H]-
UT648977,UT002189;UT001449;UT002917,134776249,CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\CCCCCCCCCCCCCCC,45.15,min,WLQZPEPFGFEUCQ-GCUVURNUSA-N,[M-H]-
UT220810,UT001031;UT001768;UT002503,134776554,CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\CCCCCCCCC,24.81,min,WONILIINQKCSNA-XXLZVXFVSA-N,[M+CH3COO]-
UT806003,UT002475;UT001004;UT001739,134776595,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC,9.4,min,WOZQMKGPSSBBKF-AKCCMISZSA-N,[M+CH3COO]-
UT865139,UT001330;UT001067;UT002537;UT002799;UT001804;UT002071,134776625,CCCCCCCCCCCCCC/C=C/OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC,21.13,min,WPFUZBNWEKXHJI-TUJGGYRWSA-N,[M+CH3COO]-
UT682325,UT001108;UT002577;UT001363;UT002103;UT001846;UT002832,134776843,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC,23.7,min,WRJMLLZQXDAGES-ASOJYNRJSA-N,[M-H]-
UT339214,UT001821,134776859,CCCCCCCCCCCC/C=C\CCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C,2.36,min,WRNNGLADZYOSJO-MSUUIHNZSA-N,[M+CH3COO]-
UT777644,UT001065;UT001802;UT002535,134776903,CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,44.03,min,WRWYRAWKRKLJLU-VTFKHGFOSA-N,[M+CH3COO]-
UT512992,UT002151;UT002880;UT001411,134777290,CCCCCCCCCCCCCC/C=C/OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,20.42,min,WVGALBKSWOUIEZ-ULUZTLKMSA-N,[M-H]-
UT924556,UT001371;UT002588;UT001118;UT002112;UT002840;UT001856,134777294,CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,20.82,min,WVGREBRFGJNLSB-KAFSZNKPSA-N,[M-H]-
UT742613,UT002038;UT002766;UT001297,134777596,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCCC,22.82,min,WYNABTBZGUFBIR-NRVNBKNNSA-N,[M+CH3COO]-
UT553773,UT001956;UT002688;UT001214,134777640,CCCCCCCCCC/C=C\C/C=C\CCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\CCCCCCCCCC,7.59,min,WZACVMOHPZANSW-WRGXGLASSA-N,[M-H]-
UT196730,UT001348;UT002817;UT002088;UT002555;UT001084;UT001823,134777714,CCCCCCCCCCCCC/C=C\CCC(=O)OC(CO)COP(=O)([O-])OCC[N+](C)(C)C,2.31,min,WZSWWJLIQCVBRG-ZCXUNETKSA-N,[M+CH3COO]-
