accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
AU558966,AU227957;AU227958,4235,C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl,6.883,min,YHXISWVBGDMDLQ-UHFFFAOYSA-N,[M-H]-
AU614717,AU230962;AU230959;AU230958;AU230960;AU230957,4507,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,9.739,min,PVHUJELLJLJGLN-UHFFFAOYSA-N,[M-H]-
AU428798,AU228610;AU228612;AU228658;AU228657;AU228659,4540,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F,8.512,min,UVCOILFBWYKHHB-UHFFFAOYSA-N,[M-H]-
AU639442,AU227410;AU227411;AU227458;AU227457;AU227412;AU227459,4679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,7.359,min,IQPSEEYGBUAQFF-UHFFFAOYSA-N,[M-H]-
AU586207,AU235857;AU235859;AU235860;AU235858,4829,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,9.269,min,HYAFETHFCAUJAY-UHFFFAOYSA-N,[M-H]-
AU924374,AU234257;AU234258,4889,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O,7.118,min,TUZYXOIXSAXUGO-UHFFFAOYSA-N,[M-H]-
AU908634,AU233160;AU233157;AU233158;AU233159,4933,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,9.34,min,LFULEKSKNZEWOE-UHFFFAOYSA-N,[M-H]-
AU580543,AU230757,5193,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,8.184,min,KQPKPCNLIDLUMF-UHFFFAOYSA-N,[M-H]-
AU343969,AU241162;AU241158;AU241159;AU241157,5248,CCCCCCCCCCCCCCOS(=O)(=O)O,12.614,min,URLJMZWTXZTZRR-UHFFFAOYSA-N,[M-H]-
AU685524,AU238359;AU238357;AU238358,5253,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,3.26,min,ZBMZVLHSJCTVON-UHFFFAOYSA-N,[M-H]-
AU121117,AU236360;AU236359;AU236357;AU236358,5323,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,4.751,min,ZZORFUFYDOWNEF-UHFFFAOYSA-N,[M-H]-
AU410605,AU234359;AU101853;AU101851;AU234358;AU101852;AU234357;AU234360,5329,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,3.276,min,JLKIGFTWXXRPMT-UHFFFAOYSA-N,[M-H]-
AU932047,AU234458;AU234459;AU234457,5336,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,3.694,min,GECHUMIMRBOMGK-UHFFFAOYSA-N,[M-H]-
AU552094,AU236058;AU236057;AU236059,5340,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,3.438,min,JNMRHUJNCSQMMB-UHFFFAOYSA-N,[M-H]-
AU321215,AU239857;AU239858;AU239859,5755,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O,6.94,min,OIGNJSKKLXVSLS-VWUMJDOOSA-N,[M-H]-
