accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
PR165804,PR309324,1249,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,2.49,min,XMOCLSLCDHWDHP-UHFFFAOYSA-N
PR878551,PR309089,1424,CCCCCC(C=CC=CCCCCCCCC(=O)O)O,9.57,min,HNICUWMFWZBIFP-UHFFFAOYSA-N
PR054531,PR309125,1662,CC(CC(=O)O)(CC(=O)O)O,1.98,min,NPOAOTPXWNWTSH-UHFFFAOYSA-N
PR659356,PR309402,1670,COC1=C(C=CC(=C1)CC(C(=O)O)N)O,3.52,min,PFDUUKDQEHURQC-UHFFFAOYSA-N
PR321241,PR309306,1889,C1C(OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,5.3,min,FURUXTVZLHCCNA-UHFFFAOYSA-N
PR297184,PR309090,1927,CCCCCC=CC=CC(CCCCCCCC(=O)O)O,9.79,min,NPDSHTNEKLQQIJ-UHFFFAOYSA-N
PR159261,PR309093;PR309096;PR309095;PR309092;PR309094,1928,CCCCCC=CC=CC(CCCCCCCC(=O)O)OO,8.0,min,JGUNZIWGNMQSBM-UHFFFAOYSA-N
PR096581,PR309413;PR309412,1995,CC(C)CC(C(=O)O)NC(=O)C,3.66,min,WXNXCEHXYPACJF-UHFFFAOYSA-N
PR291677,PR309403,2000,CC(=O)NC(CC1=CC=CC=C1)C(=O)O,4.04,min,CBQJSKKFNMDLON-UHFFFAOYSA-N
PR756224,PR304844;PR304848;PR304825;PR304852;PR304864;PR304821;PR304836;PR304832;PR304840;PR304856;PR304860;PR304829;PR308733,2180,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,3.327617,min,XUCIJNAGGSZNQT-UHFFFAOYSA-N
PR871728,PR304859;PR304843;PR304863;PR304835;PR304831;PR308732;PR304820;PR304847;PR304824;PR304839;PR304851;PR304828;PR304855,2180,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,3.327617,min,XUCIJNAGGSZNQT-UHFFFAOYSA-N
PR637483,PR309132,2266,C(CCCC(=O)O)CCCC(=O)O,4.78,min,BDJRBEYXGGNYIS-UHFFFAOYSA-N
PR486502,PR307401;PR307406;PR307399;PR307400;PR307397;PR307398;PR307403;PR307395;PR307402;PR307405;PR307404;PR308728;PR307396,2356,COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O,2.85,min,YWJXCIXBAKGUKZ-UHFFFAOYSA-N
PR319753,PR307473;PR308820,2464,CC12CCC(CC1CCC3C2CCC4(C3(CCC4C5=COC(=O)C=C5)O)C)O,6.99,min,QEEBRPGZBVVINN-UHFFFAOYSA-N
PR686736,PR309377;PR307096;PR307109;PR307114;PR307120;PR307123;PR307103;PR307117;PR307106;PR307093;PR307098,2518,C1=CC(=C(C=C1C=CC(=O)O)O)O,3.43555,min,QAIPRVGONGVQAS-UHFFFAOYSA-N
PR321668,PR304903;PR308846;PR304895;PR304898;PR304896;PR304904;PR304900;PR304902;PR304901;PR304899;PR304897,2550,CC(CS)C(=O)N1CCCC1C(=O)O,4.04,min,FAKRSMQSSFJEIM-UHFFFAOYSA-N
PR318105,PR308883;PR304938;PR304915;PR305155;PR305133;PR305147;PR304912;PR305137;PR304930;PR305139;PR305151;PR304907;PR304921;PR304933;PR304936;PR304909;PR304927;PR305149;PR304924;PR305143;PR305153;PR305141;PR304918;PR305135;PR305145,2866,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,4.007733,min,BLGXFZZNTVWLAY-UHFFFAOYSA-N
PR495652,PR305154;PR305132;PR304932;PR304914;PR304935;PR304937;PR304911;PR304917;PR305150;PR305146;PR305152;PR304920;PR305136;PR305142;PR304923;PR305144;PR304926;PR305148;PR304906;PR304929;PR305138;PR308871;PR305140;PR305134,2866,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O,4.007733,min,BLGXFZZNTVWLAY-UHFFFAOYSA-N
PR005157,PR305005;PR305013;PR305014;PR309446;PR305007;PR305008;PR305017;PR305016;PR305011,3213,CC1=C2C(=C(C3=C1C=CN=C3)C)C4=CC=CC=C4N2,4.92,min,CTSPAMFJBXKSOY-UHFFFAOYSA-N
PR779132,PR307886;PR307883;PR307877;PR307888;PR307875;PR307880;PR307873;PR307890,3310,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,5.420317,min,VJJPUSNTGOMMGY-UHFFFAOYSA-N
PR159422,PR307889;PR307878;PR307882;PR308746;PR307887;PR307876;PR307885;PR307872;PR307874;PR307879;PR307884;PR307881;PR307871,3310,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,5.42,min,VJJPUSNTGOMMGY-UHFFFAOYSA-N
PR669451,PR308344;PR308374;PR308694;PR308378;PR308364;PR308350;PR308383;PR308368;PR308908;PR308334;PR308356;PR308338;PR308387,3495,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,6.64,min,LPLVUJXQOOQHMX-UHFFFAOYSA-N
PR389336,PR309441;PR306566;PR306584;PR309314;PR306572;PR306616;PR306595;PR306611;PR306578;PR306554;PR306606;PR306590;PR306600;PR306560,3593,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,6.05,min,AIONOLUJZLIMTK-UHFFFAOYSA-N
PR486882,PR308845;PR304862;PR304827;PR304838;PR304823;PR304854;PR304858;PR304850;PR304842;PR304846;PR304834;PR304819,3816,CC(=C)C1CNC(C1CC(=O)O)C(=O)O,2.44,min,VLSMHEGGTFMBBZ-UHFFFAOYSA-N
PR327614,PR309369,3923,CC(C)(C=C)C1=C(C=C(C(=C1)C=CC(=O)C2=CC=C(C=C2)O)OC)O,8.11,min,KAZSKMJFUPEHHW-UHFFFAOYSA-N
PR509019,PR307622;PR307634;PR307589;PR307630;PR307605;PR307617,4441,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,4.378117,min,DFPMSGMNTNDNHN-UHFFFAOYSA-N
PR949399,PR306629;PR306649;PR306634;PR306644;PR306620;PR306669;PR306664;PR306674;PR306639;PR308813;PR306659;PR306654,4453,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O,5.07,min,ITVGXXMINPYUHD-UHFFFAOYSA-N
PR436267,PR306434;PR306454;PR309445;PR306474;PR306459;PR306439;PR306469;PR306464;PR306444;PR306479;PR306484;PR306489;PR306449,4789,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O,4.7256,min,IOUVKUPGCMBWBT-UHFFFAOYSA-N
