accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey
BS625588,BS003108;BS003107;BS003110,69687,CC(=O)C1=C(C=CC=C1O)O,372.6,sec,YPTJKHVBDCRKNF-UHFFFAOYSA-N
BS511984,BS003426;BS003424,72276,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,175.2,sec,PFTAWBLQPZVEMU-UKRRQHHQSA-N
BS705889,BS003950;BS003952;BS003949,72277,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,103.2,sec,XMOCLSLCDHWDHP-IUODEOHRSA-N
BS235613,BS003017;BS003018,72279,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O,746.028,sec,GPZYYYGYCRFPBU-UHFFFAOYSA-N
BS526892,BS003470;BS003471;BS003474;BS003473,72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,623.4,sec,AIONOLUJZLIMTK-AWEZNQCLSA-N
BS038423,BS003239,73299,C[C@]12CC[C@@H]([C@@]([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)CO)O,1343.4,sec,PGOYMURMZNDHNS-MYPRUECHSA-N
BS886277,BS003839;BS003837;BS003838,73412,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(C[C@H]([C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)O)C)[C@@H]2[C@H]1C)C)C(=O)O,947.4,sec,PRAUVHZJPXOEIF-AOLYGAPISA-N
BS469085,BS003789;BS003785;BS003788;BS003787,73635,COC1=C(C=CC(=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,596.4,sec,FTODBIPDTXRIGS-ZDUSSCGKSA-N
BS354467,BS003118;BS003117,75787,COC1=CC(=C(C=C1)O)C(=O)O,319.8,sec,IZZIWIAOVZOBLF-UHFFFAOYSA-N
BS420593,BS003593;BS003592,88281,C1=CC2=C(C(=C1)O)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O,705.6,sec,KXPQYWKYYDYOCQ-UHFFFAOYSA-N
BS172248,BS003518;BS003521;BS003522;BS003519,91144,CC1=C(C2=C(C(=C1O)C)OC(CC2=O)C3=CC=C(C=C3)O)O,795.6,sec,DYHOLQACRGJEHX-UHFFFAOYSA-N
BS382889,BS003369;BS003366,92794,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC=C(C=C4)O,375.0,sec,DLIKSSGEMUFQOK-SFTVRKLSSA-N
BS217972,BS003831;BS003833;BS003835;BS003834;BS003830,107971,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,245.4,sec,KYQZWONCHDNPDP-QNDFHXLGSA-N
BS822989,BS003514;BS003516;BS003513;BS003510;BS003512,114627,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O,330.6,sec,OBKKEZLIABHSGY-DOYQYKRZSA-N
BS705730,BS003364,114829,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O,445.8,sec,FURUXTVZLHCCNA-AWEZNQCLSA-N
BS983093,BS003821;BS003823,119034,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,1068.6,sec,JXSVIVRDWWRQRT-UYDOISQJSA-N
BS679795,BS003940;BS003939;BS003941;BS003937;BS003942,122738,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,152.4,sec,XFZJEEAOWLFHDH-NFJBMHMQSA-N
BS879078,BS003078;BS003082;BS003081;BS003077,124035,CC(=CCC1=C(C2=C(C(=C1O)CC=C(C)C)O[C@@H](CC2=O)C3=CC=C(C=C3)O)O)C,1440.6,sec,HCNLDGTUMBOHKT-NRFANRHFSA-N
BS418965,BS003525;BS003527;BS003528;BS003524,145726,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O,553.2,sec,SRNPMQHYWVKBAV-UHFFFAOYSA-N
BS780877,BS003919;BS003918;BS003917,155206,C1=CC(=C(C=C1[C@@H]2[C@H]([C@@H](C3=C(C=C(C=C3O2)O)O)O)O)O)O,115.2,sec,SBZWTSHAFILOTE-QLFBSQMISA-N
BS761485,BS003558;BS003552;BS003557;BS003554;BS003555,160481,COC1=CC=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O,838.2,sec,HMUJXQRRKBLVOO-AWEZNQCLSA-N
BS476791,BS003640;BS003641;BS003643;BS003642;BS003639,160921,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3O)OC)O)OC,882.0,sec,KRFBMPVGAYGGJE-UHFFFAOYSA-N
BS228748,BS003113;BS003111,161860,C1=CC=C(C(=C1)C2=CC(=O)C3=CC=CC=C3O2)O,760.8,sec,ZZLQHXCRRMUGQJ-UHFFFAOYSA-N
BS799084,BS003347;BS003346;BS003349,162933,C1[C@@H]2[C@H](C3=C(O1)C=C(C=C3)O)OC4=C2C=CC(=C4)O,493.8,sec,ODMIEGVTNZNSLD-WFASDCNBSA-N
BS105425,BS003566;BS003570;BS003567;BS003571,185617,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)O,301.8,sec,DJSISFGPUUYILV-ZFORQUDYSA-N
BS356548,BS003462;BS003460;BS003461;BS003458,193679,CC(=CCC1=C(C=CC2=C1O[C@@H](CC2=O)C3=CC=C(C=C3)O)O)C,878.4,sec,KYFBXCHUXFKMGQ-IBGZPJMESA-N
BS129448,BS003090;BS003089;BS003092;BS003091,196915,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,1490.4,sec,DRSITEVYZGOOQG-UHFFFAOYSA-N
BS995684,BS003773;BS003774;BS003772;BS003771,229015,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC(=CC=C3)O,680.4,sec,ISZWRZGKEWQACU-UHFFFAOYSA-N
BS184404,BS003034,229016,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC=C(C=C3)O,653.733,sec,SHGLJXBLXNNCTE-UHFFFAOYSA-N
BS787586,BS003607;BS003608;BS003610;BS003609,261859,COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(O2)C(=C(C(=C3O)OC)OC)OC,768.0,sec,MQBFFYQCZCKSBX-UHFFFAOYSA-N
BS329611,BS003301;BS003298;BS003302;BS003303;BS003299,265699,COC1=CC=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C=C3)OC)O,1035.0,sec,IFHXSMSQHPVVSF-UHFFFAOYSA-N
BS570070,BS003503;BS003502;BS003500,321346,COC1=CC=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)OC)O,1120.2,sec,CKEXCBVNKRHAMX-UHFFFAOYSA-N
BS543171,BS003561;BS003560;BS003562;BS003563,348130,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)O,837.0,sec,DJOJDHGQRNZXQQ-UHFFFAOYSA-N
