accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
LQB6447016,LQB00622;LQB00236,20843301,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCC(CO)O,8.180974,min,ZAXBYLHGBBMAAY-UHFFFAOYSA-N,[M-H]-
LQB3774952,LQB00186;LQB00572,25244424,CCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,8.900139,min,SSRRIJSEUKHYFB-RUGCENDASA-N,[M-H]-
LQB5348653,LQB00209;LQB00595,25245362,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,9.574076,min,GKAFCSRKMWFPSJ-RQOIEFAZSA-N,[M-H]-
LQB2435068,LQB00626;LQB00240,25267633,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(CO)O,9.110722,min,KBPVYRBBONZJHF-UHFFFAOYSA-N,[M-H]-
LQB9696365,LQB00657;LQB00271,49792064,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,7.939426,min,AKWGRDPPGYFWIW-MAZCIEHSSA-N,[M-H]-
LQB5391816,LQB00330;LQB00716,71585836,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.299236,min,PWBBJQOVCTWPIM-LGFBOSHVSA-N,[M-H]-
LQB3099029,LQB00559;LQB00173,71627298,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCC,9.26572,min,CZOSTDZGCCEZTJ-PEZBUJJGSA-N,[M-H]-
LQB8748206,LQB00642;LQB00256,71767679,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCC/C=C\CCCCCCCC,9.180191,min,ZEFGRNLJASLRBZ-ZZEZOPTASA-N,[M-H]-
LQB7663870,LQB00291;LQB00677,75251680,CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O,9.02943,min,NEXFZIYXCPIHEF-UHFFFAOYSA-N,[M-H]-
LQB2198486,LQB00726;LQB00340,91746251,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(C(=O)O)N)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.68651,min,LYYHRRPTEXPVOR-HSBBONCLSA-N,[M-H]-
LQB0713372,LQB00646;LQB00260,134724320,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.78411,min,CLQKBJHAUYGCOB-HSBBONCLSA-N,[M-H]-
LQB8559405,LQB00612;LQB00226,134758124,CCCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,10.72561,min,PITVJCPCBXGCHJ-MXQGKLILSA-N,[M-H]-
LQB6040985,LQB00171;LQB00557,134775923,CCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,8.987217,min,WIJRNOBSWIZHST-JTURFRPLSA-N,[M-H]-
LQB3718979,LQB00193;LQB00579,134777294,CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,9.718303,min,WVGREBRFGJNLSB-KAFSZNKPSA-N,[M-H]-
LQB6139160,LQB00287;LQB00673,134777753,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,7.82821,min,XACKZSRNTPEYBU-GZSOIYOPSA-N,[M-H]-
LQB7896821,LQB00301;LQB00687,138118668,CCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,8.489993,min,AJAKJCJJRMUWFW-OHNCOSGTSA-N,[M-H]-
