accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type
EA61179452,EA064452;EA064462;EA064459;EA064456;EA064458;EA064455;EA064460;EA064454;EA064457;EA064461;EA064463;EA064453,4679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,6.6,min,IQPSEEYGBUAQFF-UHFFFAOYSA-N,[M-H]-
EA53767344,EA019655;EA019662;EA019659;EA019654;EA019658;EA019656;EA019652;EA019660;EA019657;EA019653;EA019661,5039,CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C,1.9,min,VMXUWOKSQNHOCA-UHFFFAOYSA-N,[M-H]-
EA94713835,EA281656;EA281659;EA281662;EA281657;EA281663;EA281654;EA281655;EA281658;EA281652;EA281653;EA281660;EA281661,5143,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,2.5,min,CVHZOJJKTDOEJC-UHFFFAOYSA-N,[M-H]-
EA38264088,EA017052;EA017054;EA017053;EA017058;EA017059;EA017060,5253,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,1.6,min,ZBMZVLHSJCTVON-UHFFFAOYSA-N,[M-H]-
EA40109839,EA018359;EA018363;EA018355;EA018360;EA018352;EA018361;EA018358;EA018354;EA018357;EA018356;EA018362;EA018353,5323,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,5.7,min,ZZORFUFYDOWNEF-UHFFFAOYSA-N,[M-H]-
EA33987516,EA029854;EA029860;EA029858;EA029859;EA029856;EA029861;EA029852;EA029853;EA029855,5329,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,4.5,min,JLKIGFTWXXRPMT-UHFFFAOYSA-N,[M-H]-
EA96685399,EA018553;EA018552;EA018558;EA018562;EA018557;EA018555;EA018554;EA018563;EA018561;EA018559;EA018556;EA018560,5340,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,2.8,min,JNMRHUJNCSQMMB-UHFFFAOYSA-N,[M-H]-
EA99224682,EA025759;EA025763;EA025753;EA025760;EA025758;EA025754;EA025762;EA025757;EA025756;EA025755;EA025752;EA025761,6950,CCC(C)C1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-],13.0,min,OWZPCEFYPSAJFR-UHFFFAOYSA-N,[M-H]-
EA09926821,EA030863;EA030852;EA030858;EA030854;EA030856;EA030862;EA030853;EA030860;EA030859;EA030861;EA030855;EA030857,7153,CC1=C(C=CC(=C1)Cl)OC(C)C(=O)O,10.8,min,WNTGYJSOUMFZEP-UHFFFAOYSA-N,[M-H]-
EA98444980,EA026152;EA026160;EA026153;EA026156;EA026158;EA026162;EA026161;EA026163;EA026154;EA026155;EA026157;EA026159,7204,CC1=C(C=CC(=C1)Cl)OCC(=O)O,9.5,min,WHKUVVPPKQRRBV-UHFFFAOYSA-N,[M-H]-
EA37857680,EA271056;EA271054;EA271058;EA271052;EA271055;EA271060;EA271059;EA271053,7207,CC1=C(C=CC(=C1)Cl)OCCCC(=O)O,11.9,min,LLWADFLAOKUBDR-UHFFFAOYSA-N,[M-H]-
EA17899672,EA016657;EA016658;EA016652;EA016662;EA016653;EA016654;EA016656;EA016663;EA016659;EA016655;EA016660;EA016661,7220,C1=CC2=NNN=C2C=C1,4.4,min,QRUDEWIWKLJBPS-UHFFFAOYSA-N,[M-H]-
EA86465466,EA281356;EA281363;EA281361;EA281355;EA281353;EA281354;EA281362;EA281359;EA281357;EA281358;EA281360;EA281352,7533,C1CCC(CC1)NS(=O)(=O)O,3.4,min,HCAJEUSONLESMK-UHFFFAOYSA-N,[M-H]-
EA82426569,EA298859,7547,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,14.7,min,ICUTUKXCWQYESQ-UHFFFAOYSA-N,[M-H]-
EA65715791,EA065356;EA065361;EA065352;EA065357;EA065353;EA065355;EA065363;EA065358;EA065354;EA065359;EA065360;EA065362,8420,C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)O,5.3,min,KVBGVZZKJNLNJU-UHFFFAOYSA-N,[M-H]-
EA65170258,EA027063;EA027055;EA027062;EA027053;EA027054;EA027052;EA027060;EA027057;EA027061;EA027059;EA027056;EA027058,8427,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,10.7,min,MZHCENGPTKEIGP-UHFFFAOYSA-N,[M-H]-
EA57219138,EA065252;EA065259;EA065253;EA065257;EA065256;EA065262;EA065261;EA065255;EA065254;EA065263;EA065258;EA065260,8479,C1=CC(=CC=C1N)S(=O)(=O)O,0.9,min,HVBSAKJJOYLTQU-UHFFFAOYSA-N,[M-H]-
EA81657395,EA016755;EA016761;EA016756;EA016760;EA016759;EA016763;EA016754;EA016758;EA016757;EA016762;EA016752;EA016753,8705,CC1=CC2=NNN=C2C=C1,5.8,min,LRUDIIUSNGCQKF-UHFFFAOYSA-N,[M-H]-
EA44547491,EA016154;EA016158;EA016153;EA016161;EA016160;EA016159;EA016155;EA016152,8800,CN(C)C(=O)NC1=CC=C(C=C1)Cl,6.8,min,BMLIZLVNXIYGCK-UHFFFAOYSA-N,[M-H]-
EA25705278,EA026659;EA026653;EA026656;EA026663;EA026657;EA026654;EA026658;EA026660;EA026661;EA026662;EA026655;EA026652,9411,CCC(C)N1C(=O)C(=C(NC1=O)C)Br,7.0,min,CTSLUCNDVMMDHG-UHFFFAOYSA-N,[M-H]-
