accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
PR53252013,PR300676;PR300666;PR300711;PR300681;PR300656;PR300671;PR300686;PR300691;PR300661;PR300706;PR300696;PR300701,11870645,C/C=C\1/CN2CC[C@@]34[C@@H]2C[C@@H]1C(=C3NC5=C4C=CC=C5O)C=O,3.37885,min,JDOFCMASVRMYJU-JYTRXFNOSA-N,[M+H]+,C19H20N2O2
PR73520010,PR301433;PR301426;PR301414;PR301422;PR301418;PR301430;PR301402;PR301441;PR301437;PR301445;PR301410;PR301406,11875904,C[C@H]1CCC(=NC1)[C@@H](C)[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC(=O)[C@@H]5[C@@]4(CC[C@@H](C5)O)C)C,4.94645,min,QAGPPGDCPAPQLW-HAQROMNMSA-N,[M+H]+,C27H43NO2
PR19470873,PR303590;PR303589;PR303594;PR303592;PR303591;PR303599;PR303593;PR303596;PR303595;PR303597;PR303598,11969542,CC(=O)O[C@@H]1[C@@H]([C@]2(CC[C@H]3[C@H]([C@@]24[C@@H]1O4)CC[C@H]5[C@@]3(CC[C@@H](C5)O)C)C)C6=COC(=O)C=C6,7.508033,min,SCULJPGYOQQXTK-OLRINKBESA-N,[M+H]+,C26H34O6
PR96009223,PR311093,12073937,C1=CC=C(C=C1)/C=C/C(=O)NCCCCN,3.7,min,UYLFIIUIXMINML-CMDGGOBGSA-N,[M+H]+,C13H18N2O
PR54009700,PR311179,12302249,C1=CC(=CC=C1C2=C(C=C3C(=CC(=CC3=[O+]2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,3.12,min,ABVCUBUIXWJYSE-UHFFFAOYSA-O,[M]+,C21H21O10+
PR93765900,PR310700,12302820,CC1CCC2C(C3C(N2C1)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)C)O)O)O)C)C)C,4.94,min,ZLSYCIYRYZUJCZ-UHFFFAOYSA-N,[M+H]+,C39H63NO10
PR76147149,PR310404,12302914,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)OC6C(C(C(C(O6)C(=O)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)C2C1)C)C(=O)OC8C(C(C(C(O8)CO)O)O)O)C,6.18,min,NFZYDZXHKFHPGA-UHFFFAOYSA-N,[M+H]+,C48H76O19
PR59227171,PR300364;PR300339;PR300369;PR300334;PR300379;PR300349;PR300374;PR300344;PR300354;PR300325;PR300329;PR300359,12304286,C[C@@H]1[C@H]2CN3CC[C@]4([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)C5=CC=CC=C5NC4=O,4.330417,min,JMIAZDVHNCCPDM-XJKYNJMSSA-N,[M+H]+,C21H24N2O4
PR85418604,PR300466;PR300443;PR300474;PR300462;PR300454;PR300486;PR300470;PR300482;PR300458;PR300478;PR300450;PR300446,12304288,C[C@H]1[C@@H]2CN3CC[C@]4([C@H]3C[C@@H]2C(=CO1)C(=O)OC)C5=CC=CC=C5NC4=O,4.094467,min,JMIAZDVHNCCPDM-PMJXBNNDSA-N,[M+H]+,C21H24N2O4
PR96819027,PR310951,12304737,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)OC4C(C(C(C(O4)CO)O)O)O,4.45,min,UHNXUSWGOJMEFO-UHFFFAOYSA-N,[M+H]+,C21H20O11
