accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
RP53134744,RP000601;RP000602;RP000603,6106,CC(C)C[C@@H](C(=O)O)N,0.844,min,ROHFNLRQFUQHCH-YFKPBYRVSA-N,[M+H]+,C6H13NO2
RP20686562,RP001901;RP001903;RP001902,6137,CSCC[C@@H](C(=O)O)N,0.698,min,FFEARJCKVFRZRR-BYPYZUCNSA-N,[M+H]+,C5H11NO2S
RP10051287,RP000402;RP000403;RP000401,6140,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,1.41,min,COLNVLDHVKWLRT-QMMMGPOBSA-N,[M+H]+,C9H11NO2
RP47871060,RP001503;RP001502;RP001501,6267,C([C@@H](C(=O)O)N)C(=O)N,0.576,min,DCXYFEDJOCDNAF-REOHCLBHSA-N,[M+H]+,C4H8N2O3
RP92474384,RP002002;RP002003;RP002001,6274,C1=C(NC=N1)C[C@@H](C(=O)O)N,0.549,min,HNDVDQJCIGZPNO-YFKPBYRVSA-N,[M+H]+,C6H9N3O2
RP58078305,RP000901;RP000902;RP000903,6287,CC(C)[C@@H](C(=O)O)N,0.683,min,KZSNJWFQEVHDMF-BYPYZUCNSA-N,[M+H]+,C5H11NO2
RP98450978,RP000503;RP000501;RP000502,6305,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,2.369,min,QIVBCDIJIAJPQS-VIFPVBQESA-N,[M+H]+,C11H12N2O2
RP30152470,RP000803;RP000802;RP000801,6306,CC[C@H](C)[C@@H](C(=O)O)N,0.736,min,AGPKZVBTJJNPAG-WHFBIAKZSA-N,[M+H]+,C6H13NO2
RP06514855,RP001201;RP001202;RP001203,6322,C(C[C@@H](C(=O)O)N)CN=C(N)N,0.547,min,ODKSFYDXXFIFQN-BYPYZUCNSA-N,[M+H]+,C6H14N4O2
RP29493913,RP005901;RP005902;RP005903,6675,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,3.915,min,WBWWGRHZICKQGZ-HZAMXZRMSA-N,[M+H]+,C26H45NO7S
RP00207477,RP020003;RP020001;RP020002,6781,CCOC(=O)C1=CC=CC=C1C(=O)OCC,4.816,min,FLKPEMZONWLCSK-UHFFFAOYSA-N,[M+H]+,C12H14O4
RP23204240,RP018402;RP018401;RP018403,6817,CN1C2=CC=CC=C2N=C3C1=CC=CC3=O,4.735,min,YNCMLFHHXWETLD-UHFFFAOYSA-N,[M+H]+,C13H10N2O
RP39094418,RP014902;RP014903;RP014901,7427,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O,0.575,min,HDTRYLNUVZCQOY-LIZSDCNHSA-N,[M+H]+,C12H22O11
RP13242422,RP023903;RP023902;RP023901,8158,CCCCCCCCC(=O)O,5.185,min,FBUKVWPVBMHYJY-UHFFFAOYSA-N,[M+H]+,C9H18O2
RP50924792,RP019802;RP019801;RP019803,8346,CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC,7.638,min,MQIUGAXCHLFZKX-UHFFFAOYSA-N,[M+H]+,C24H38O4
RP88356973,RP019503;RP019501;RP019502,8554,COC(=O)C1=CC=CC=C1C(=O)OC,4.112,min,NIQCNGHVCWTJSM-UHFFFAOYSA-N,[M+H]+,C10H10O4
RP71434636,RP019702;RP019703;RP019701,8559,CCCOC(=O)C1=CC=CC=C1C(=O)OCCC,5.535,min,MQHNKCZKNAJROC-UHFFFAOYSA-N,[M+H]+,C14H18O4
RP89089129,RP017501;RP017503;RP017502,8742,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O,0.657,min,JXOHGGNKMLTUBP-HSUXUTPPSA-N,[M+H]+,C7H10O5
RP83908527,RP003003;RP003002;RP003001,8890,CCCCCCCCCCCCCC(=O)NCCO,6.104,min,JHIXEZNTXMFXEK-UHFFFAOYSA-N,[M+H]+,C16H33NO2
RP80526861,RP017803;RP017802;RP017801,9064,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,2.548,min,PFTAWBLQPZVEMU-DZGCQCFKSA-N,[M+H]+,C15H14O6
RP78450514,RP015201;RP015202;RP015203,10430,CC(C)CC(=O)O,3.275,min,GWYFCOCPABKNJV-UHFFFAOYSA-N,[M+H]+,C5H10O2
RP23677726,RP015303;RP015302;RP015301,10457,C(CCCC(=O)O)CCC(=O)O,3.087,min,TYFQFVWCELRYAO-UHFFFAOYSA-N,[M+H]+,C8H14O4
RP25232535,RP008401,11005,CCCCCCCCCCCCCC(=O)O,6.807,min,TUNFSRHWOTWDNC-UHFFFAOYSA-N,[M+H]+,C14H28O2
RP15749865,RP019602;RP019603;RP019601,11799,CC(C)OC(=O)C1=CC=CC=C1C(=O)OC(C)C,5.435,min,QWDBCIAVABMJPP-UHFFFAOYSA-N,[M+H]+,C14H18O4
RP35461394,RP004601;RP015503;RP015502;RP004603;RP004602;RP015501,11970,C1=CC=C(C(=C1)CC(=O)O)O,3.019,min,CCVYRRGZDBSHFU-UHFFFAOYSA-N,[M+H]+,C8H8O3
RP81022974,RP017701;RP017702;RP017703,12038,CCOC(=O)C1=CC(=C(C=C1)O)OC,4.072,min,MWAYRGBWOVHDDZ-UHFFFAOYSA-N,[M+H]+,C10H12O4
RP80539446,RP011401;RP011403;RP011402,12039,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,2.428,min,WTFXTQVDAKGDEY-HTQZYQBOSA-N,[M+H]+,C10H10O6
RP55761595,RP015601;RP004501;RP004502;RP004503;RP015603;RP015602,12122,C1=CC(=CC(=C1)O)CC(=O)O,2.843,min,FVMDYYGIDFPZAX-UHFFFAOYSA-N,[M+H]+,C8H8O3
RP02885606,RP015803;RP015801;RP015802,12292,CC(CCC(=O)O)CC(=O)O,2.711,min,SYEOWUNSTUDKGM-UHFFFAOYSA-N,[M+H]+,C7H12O4
RP34866462,RP005203;RP005202;RP005201,12544,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,4.724,min,GHCZAUBVMUEKKP-GYPHWSFCSA-N,[M+H]+,C26H43NO5
RP15425659,RP015402;RP015403;RP015401,12587,CC(C)CCC(=O)O,3.871,min,FGKJLKRYENPLQH-UHFFFAOYSA-N,[M+H]+,C6H12O2
RP99601805,RP024802;RP024801;RP024803,13849,CCCCCCCCCCCCCCC(=O)O,7.036,min,WQEPLUUGTLDZJY-UHFFFAOYSA-N,[M+H]+,C15H30O2
RP73618166,RP031502;RP031503;RP031501,15047,C1=C(C(=O)NC(=O)N1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,0.658,min,PTJWIQPHWPFNBW-GBNDHIKLSA-N,[M+H]+,C9H12N2O6
RP90503226,RP025203;RP025201;RP025202,18230,CC(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C,0.668,min,RDHQFKQIGNGIED-QMMMGPOBSA-N,[M+H]+,C9H17NO4
RP44636631,RP002202;RP002203;RP002201,21236,CCCC[C@@H](C(=O)O)N,0.954,min,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,[M+H]+,C6H13NO2
RP59497740,RP024701;RP024702;RP024703,21672,CCC(C)CCCCCCCCCCC(=O)O,6.965,min,XKLJLHAPJBUBNL-UHFFFAOYSA-N,[M+H]+,C15H30O2
RP22982192,RP030603;RP030601;RP030602,24405,CC(=CCNC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)C,3.145,min,USVMJSALORZVDV-SDBHATRESA-N,[M+H]+,C15H21N5O4
RP06495591,RP031303;RP031301;RP031302,27476,CN1C=NC2=C(C1=N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,0.629,min,GFYLSDSUCHVORB-IOSLPCCCSA-N,[M+H]+,C11H15N5O4
RP74204073,RP001403;RP001402;RP001401,33032,C(CC(=O)O)[C@@H](C(=O)O)N,0.59,min,WHUUTDBJXJRKMK-VKHMYHEASA-N,[M+H]+,C5H9NO4
RP80051897,RP010902;RP010901;RP010903,60961,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,0.724,min,OIRDTQYFTABQOQ-KQYNXXCUSA-N,[M+H]+,C10H13N5O4
RP77251924,RP012601;RP012602;RP012603,64959,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,0.725,min,UBORTCNDUKBEOP-UUOKFMHZSA-N,[M+H]+,C10H12N4O6
RP34569797,RP017901;RP017902;RP017903,65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,2.748,min,WMBWREPUVVBILR-WIYYLYMNSA-N,[M+H]+,C22H18O11
RP54474500,RP014401;RP014402;RP014403,67678,C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N,0.576,min,LEVWYRKDKASIDU-IMJSIDKUSA-N,[M+H]+,C6H12N2O4S2
RP51180109,RP016301;RP016302;RP016303,68374,CN1C=NC2=C1C(=O)NC(=O)N2,0.819,min,PFWLFWPASULGAN-UHFFFAOYSA-N,[M+H]+,C6H6N4O2
RP80435781,RP001002;RP001003;RP001001,69435,C[C@@H]([C@H](C(=O)O)N)O,0.601,min,AYFVYJQAPQTCCC-STHAYSLISA-N,[M+H]+,C4H9NO3
RP46110117,RP016403;RP016402;RP016401,70910,CC(C)C[C@@H](C(=O)NCC(=O)NCC(=O)O)N,0.806,min,VWHGTYCRDRBSFI-ZETCQYMHSA-N,[M+H]+,C10H19N3O4
RP24616966,RP012102;RP012103;RP012101,86554,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,5.987,min,ASWBNKHCZGQVJV-UHFFFAOYSA-N,[M+H]+,C24H50NO7P
RP96950943,RP026702;RP026703;RP026701,92805,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H]([C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,4.512,min,DKPMWHFRUGMUKF-KWXDGCAGSA-N,[M+H]+,C24H40O5
RP73721099,RP023102;RP023101;RP023103,92817,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@@]2(CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)CO)O)O)O)O)O,0.576,min,QWIZNVHXZXRPDR-WSCXOGSTSA-N,[M+H]+,C18H32O16
RP60166028,RP032201;RP032203;RP032202,92918,CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,0.657,min,ZAYHVCMSTBRABG-JXOAFFINSA-N,[M+H]+,C10H15N3O5
RP71015994,RP005503;RP005501;RP005502,93353,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CCC2[C@@]1(CCC3C2[C@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,4.256,min,GHCZAUBVMUEKKP-NHIHLBCISA-N,[M+H]+,C26H43NO5
RP66322513,RP019003;RP019001;RP019002,95069,C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)C(=O)O,4.344,min,JGCSKOVQDXEQHI-UHFFFAOYSA-N,[M+H]+,C13H8N2O2
RP81634341,RP016502;RP016503;RP016501,96814,C[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O)N,2.425,min,OMNVYXHOSHNURL-WPRPVWTQSA-N,[M+H]+,C12H16N2O3
RP39490208,RP012902;RP012903;RP012901,99223,CC1=CC=CC(=C1)C(=O)NCC(=O)O,3.251,min,YKAKNMHEIJUKEX-UHFFFAOYSA-N,[M+H]+,C10H11NO3
RP30211080,RP030701;RP030703;RP030702,102175,CNC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,1.023,min,VQAYFKKCNSOZKM-IOSLPCCCSA-N,[M+H]+,C11H15N5O4
RP80571201,RP031202;RP031201;RP031203,102213,CO[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O,0.778,min,FPUGCISOLXNPPC-IOSLPCCCSA-N,[M+H]+,C11H15N5O4
RP94946342,RP020803;RP020801;RP020802,119133,CCCC(=O)CC(=O)NC1CCOC1=O,2.75,min,YRYOXRMDHALAFL-UHFFFAOYSA-N,[M+H]+,C10H15NO4
RP45896422,RP021102;RP021103;RP021101,127864,CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,5.277,min,PHSRRHGYXQCRPU-UHFFFAOYSA-N,[M+H]+,C16H27NO4
RP86190393,RP021302;RP021301;RP021303,130846,CC(CC(=O)NC1CCOC1=O)O,0.913,min,FIXDIFPJOFIIEC-UHFFFAOYSA-N,[M+H]+,C8H13NO4
RP24257826,RP001703;RP001701;RP001702,145742,C1C[C@H](NC1)C(=O)O,0.617,min,ONIBWKKTOPOVIA-BYPYZUCNSA-N,[M+H]+,C5H9NO2
RP12484162,RP024602;RP024601;RP024603,151014,CC(C)CCCCCCCCCCCC(=O)O,6.986,min,ZOCYQVNGROEVLU-UHFFFAOYSA-N,[M+H]+,C15H30O2
RP35583434,RP027101;RP027102;RP027103,160636,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,4.617,min,BHQCQFFYRZLCQQ-PGHAKIONSA-N,[M+H]+,C24H40O5
RP55454617,RP030803;RP030801;RP030802,161466,C[C@H]([C@@H](C(=O)O)NC(=O)NC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)O,2.441,min,UNUYMBPXEFMLNW-DWVDDHQFSA-N,[M+H]+,C15H20N6O8
RP21077101,RP002102;RP002103;RP002101,164608,CC(C)(C)[C@@H](C(=O)O)N,0.726,min,NPDBDJFLKKQMCM-SCSAIBSYSA-N,[M+H]+,C6H13NO2
RP13180041,RP007201;RP007202;RP007203,164853,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@@H](C4)O)C)C,5.809,min,SMEROWZSTRWXGI-WFVDQZAMSA-N,[M+H]+,C24H40O3
RP73316837,RP021903;RP021902;RP021901,171548,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,2.811,min,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,[M+H]+,C10H16N2O3S
RP25834302,RP026501;RP026502;RP026503,188292,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,4.389,min,RHCPKKNRWFXMAT-RRWYKFPJSA-N,[M+H]+,C24H38O5
RP06413653,RP018703;RP018702;RP018701,193025,C1=CC(=C2C(=C1)N=C3C(=N2)C=CC=C3C(=O)O)C(=O)O,4.018,min,MJALVONLCNWZHK-UHFFFAOYSA-N,[M+H]+,C14H8N2O4
RP31197018,RP005803;RP005801;RP005802,387316,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,4.293,min,BHTRKEVKTKCXOH-BJLOMENOSA-N,[M+H]+,C26H45NO6S
RP03650856,RP016001;RP016003;RP016002,439232,CC(=O)N[C@@H](CCCN)C(=O)O,0.602,min,JRLGPAXAGHMNOL-LURJTMIESA-N,[M+H]+,C7H14N2O3
RP97465716,RP023002;RP023001;RP023003,439242,C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O,0.59,min,MUPFEKGTMRGPLJ-ZQSKZDJDSA-N,[M+H]+,C18H32O16
RP40384161,RP014601;RP014602;RP014603,439258,C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N,0.589,min,ILRYLPWNYFXEMH-WHFBIAKZSA-N,[M+H]+,C7H14N2O4S
RP17932625,RP006103;RP006102;RP006101,439763,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,4.902,min,QBYUNVOYXHFVKC-GBURMNQMSA-N,[M+H]+,C26H45NO5S
RP70264168,RP020101;RP020102;RP020103,443433,CCCC(=O)NC1CCOC1=O,2.223,min,VFFNZZXXTGXBOG-UHFFFAOYSA-N,[M+H]+,C8H13NO3
RP89525738,RP008003;RP008002;RP008001,444262,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CC[C@H](C4)O)C)C,4.972,min,DXOCDBGWDZAYRQ-AURDAFMXSA-N,[M+H]+,C24H38O4
RP18396806,RP018301;RP018302;RP018303,444539,C1=CC=C(C=C1)/C=C/C(=O)O,3.95,min,WBYWAXJHAXSJNI-VOTSOKGWSA-N,[M+H]+,C9H8O2
RP90754095,RP013501;RP013503;RP013502,444795,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,6.91,min,SHGAZHPCJJPHSC-YCNIQYBTSA-N,[M+H]+,C20H28O2
RP68809766,RP032002;RP032003;RP032001,445408,CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,0.806,min,DWRXFEITVBNRMK-JXOAFFINSA-N,[M+H]+,C10H14N2O6
RP82864465,RP029602;RP029603;RP029601,445580,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O,6.78,min,MBMBGCFOFBJSGT-KUBAVDMBSA-N,[M+H]+,C22H32O2
RP09578360,RP030501;RP030502;RP030503,446284,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,6.59,min,JAZBEHYOTPTENJ-JLNKQSITSA-N,[M+H]+,C20H30O2
RP01583602,RP015901;RP015902;RP015903,450272,C1=CC=C(C=C1)C(=O)NC(C(=O)O)O,3.102,min,GCWCVCCEIQXUQU-UHFFFAOYSA-N,[M+H]+,C9H9NO4
RP13367129,RP013101;RP013102;RP013103,493570,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,2.751,min,AUNGANRZJHBGPY-SCRDCRAPSA-N,[M+H]+,C17H20N4O6
RP72255849,RP025803;RP025802;RP025801,497299,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O,6.585,min,IHNKQIMGVNPMTC-RUZDIDTESA-N,[M+H]+,C26H54NO7P
RP22253506,RP007602;RP007601;RP007603,543448,CC(CCC(=O)O)C1CCC2C1(CCC3C2CCC4C3(CCC(=O)C4)C)C,6.211,min,KIQFUORWRVZTHT-UHFFFAOYSA-N,[M+H]+,C24H38O3
RP05809007,RP016802;RP016803;RP016801,637542,C1=CC(=CC=C1/C=C/C(=O)O)O,3.032,min,NGSWKAQJJWESNS-ZZXKWVIFSA-N,[M+H]+,C9H8O3
RP18815461,RP017403;RP017402;RP017401,637775,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)O,3.156,min,PCMORTLOPMLEFB-ONEGZZNKSA-N,[M+H]+,C11H12O5
RP22469735,RP014202;RP014201;RP014203,638015,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C,7.056,min,NCYCYZXNIZJOKI-OVSJKPMPSA-N,[M+H]+,C20H28O
RP71189381,RP016702;RP016703;RP016701,689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,2.706,min,QAIPRVGONGVQAS-DUXPYHPUSA-N,[M+H]+,C9H8O4
RP74587205,RP011102;RP011103;RP011101,731767,CC1=CC=C(C=C1)/C=C/C(=O)O,4.849,min,RURHILYUWQEGOS-VOTSOKGWSA-N,[M+H]+,C10H10O2
RP45642399,RP006002;RP006003;RP006001,2733768,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,4.401,min,AWDRATDZQPNJFN-VAYUFCLWSA-N,[M+H]+,C26H45NO6S
RP73885035,RP026603;RP026601;RP026602,3080560,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CC[C@H](C4)O)C)C,4.147,min,MAFJMPFLJJCSTB-FQBQTYDJSA-N,[M+H]+,C24H36O5
RP58312581,RP008102;RP008103;RP008101,3080612,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,5.054,min,CVNYHSDFZXHMMJ-VPUMZWJWSA-N,[M+H]+,C24H38O4
