accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
NA74493633,NA001423;NA001801;NA001919;NA001549;NA001040;NA002037;NA000784;NA001291;NA001167;NA001683;NA001679;NA001921;NA001681;NA001421;NA001169;NA001799;NA001042;NA002035;NA001044;NA001289;NA001803;NA001551;NA000916;NA001419;NA001917;NA001553;NA000786;NA000912;NA001171;NA001293;NA000782;NA000914;NA002033,7014,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)CN4[C@H]3CCCC4,0.535,min,SLRCCWJSBJZJBV-TUVASFSCSA-N,[M+H]+,C15H26N2
NA30122925,NA002620;NA003373;NA003745;NA003005;NA002619;NA003742;NA003746;NA002622;NA003002;NA002621;NA003743;NA003003;NA003371;NA003372;NA003369;NA003004;NA003744;NA003370;NA003001;NA002618,7582,C1CCC(CC1)NC2CCCCC2,5.432,min,XBPCUCUWBYBCDP-UHFFFAOYSA-N,[M+H]+,C12H23N
NA22021641,NA003154;NA002383;NA003158;NA003519;NA002775;NA003520;NA003523;NA002381;NA003155;NA002777;NA003521;NA002382;NA002778;NA002776;NA002774;NA003156;NA002380;NA003522;NA003157;NA002379,8969,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,6.501,min,BLGXFZZNTVWLAY-SCYLSFHTSA-N,[M+H]+,C21H26N2O3
NA78202102,NA002255;NA002256;NA002652;NA003037;NA003402;NA003403;NA003036;NA002653;NA002257;NA003038;NA003401;NA003035;NA002655;NA002258;NA002656;NA003399;NA002654;NA003034;NA002259;NA003400,9415,C[C@H]1C(=O)O[C@@H]2CCN3[C@@H]2C(=CC3)COC(=O)[C@]([C@]1(C)O)(C)O,0.626,min,QVCMHGGNRFRMAD-XFGHUUIASA-N,[M+H]+,C16H23NO6
NA74869181,NA002949;NA002951;NA002558;NA002953;NA003698;NA003696;NA003324;NA003697;NA002559;NA003694;NA002560;NA002950;NA002952;NA003325;NA003326;NA002557;NA003328;NA003327;NA002556;NA003695,9649,COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7C4N2C(=O)CC7OCC=C6C5)OC,5.942,min,RRKTZKIUPZVBMF-PLNGPGDESA-N,[M+H]+,C23H26N2O4
NA67927414,NA002954;NA002562;NA003699;NA003333;NA002563;NA003700;NA002561;NA002565;NA003332;NA002958;NA003702;NA002955;NA003703;NA002956;NA003701;NA003329;NA002564;NA003330;NA002957;NA003331,10098,C[C@H]1C[C@@H]2[C@H]([C@H]([C@]3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5C(=O)C4=C3C)C)O)C)NC1,8.892,min,CLEXYFLHGFJONT-DNMILWOZSA-N,[M+H]+,C27H39NO3
NA41039493,NA002537;NA002929;NA002930;NA002539;NA002536;NA003677;NA002932;NA002540;NA003674;NA003305;NA003676;NA003678;NA003306;NA002538;NA002933;NA002931;NA003308;NA003675;NA003307;NA003304,10143,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)OC)OC,6.274,min,QELDJEKNFOQJOY-ZDUSSCGKSA-N,[M+H]+,C20H23NO4
NA91308411,NA003277;NA003645;NA003278;NA002509;NA002901;NA002510;NA002899;NA002508;NA002507;NA002902;NA003276;NA002506;NA003648;NA002900;NA003274;NA002903;NA003647;NA003646;NA003644;NA003275,10146,CN1CCC2=CC(=C(C3=C2[C@H]1CC4=CC=CC=C43)OC)OC,7.612,min,ORJVQPIHKOARKV-OAHLLOKOSA-N,[M+H]+,C19H21NO2
NA24614150,NA003397;NA003030;NA003027;NA003394;NA003029;NA003396;NA003028;NA002249;NA002646;NA002247;NA003026;NA003398;NA002245;NA002643;NA002644;NA003395;NA002246;NA002248;NA002647;NA002645,10212,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,11.498,min,OLOOJGVNMBJLLR-UHFFFAOYSA-N,[M+H]+,C16H14O4
NA93952769,NA003386;NA003384;NA003020;NA002636;NA003387;NA003019;NA003016;NA002637;NA002635;NA002634;NA002633;NA003017;NA003018;NA003385;NA003388,10235,C1[C@H]2CNC[C@@H]1C3=CC=CC(=O)N3C2,0.463,min,ANJTVLIZGCUXLD-DTWKUNHWSA-N,[M+H]+,C11H14N2O
