accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
EA97920770,EA280310;EA280307;EA280308;EA280312;EA280304;EA280302;EA280306;EA280309;EA280305;EA280311;EA280313;EA280303,444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,5.8,min,SNPPWIUOZRMYNY-UHFFFAOYSA-N,[M+H]+,C13H18ClNO
EA25351262,EA020210;EA020209;EA020207;EA020205;EA020206;EA020211;EA020213;EA020203;EA020212;EA020202;EA020204;EA020208,1302,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,10.2,min,CMWTZPSULFXXJA-UHFFFAOYSA-N,[M+H]+,C14H14O3
EA09011651,EA281812;EA281808;EA281806;EA281805;EA281811;EA281804;EA281809;EA281810;EA281802;EA281803;EA281807;EA281813,1355,C1CN(CCN1)C2=CC(=CC=C2)Cl,5.2,min,VHFVKMTVMIZMIK-UHFFFAOYSA-N,[M+H]+,C10H13ClN2
EA43046920,EA024308;EA024303;EA024302;EA024313;EA024305;EA024312;EA024307;EA024310;EA024309;EA024311;EA024304;EA024306,1983,CC(=O)NC1=CC=C(C=C1)O,2.2,min,RZVAJINKPMORJF-UHFFFAOYSA-N,[M+H]+,C8H9NO2
EA80780192,EA010409;EA010410;EA010411;EA010413;EA010412;EA010402;EA010405;EA010403;EA010407;EA010406;EA010404;EA010408,1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,11.7,min,VTNQPKFIQCLBDU-UHFFFAOYSA-N,[M+H]+,C14H20ClNO2
EA81558551,EA027402;EA027407;EA027408;EA027412;EA027404;EA027413;EA027406;EA027403;EA027409;EA027405;EA027410;EA027411,2078,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,11.7,min,XCSGPAVHZFQHGE-UHFFFAOYSA-N,[M+H]+,C14H20ClNO2
EA70748590,EA285108;EA285111;EA285113;EA285109;EA285105;EA285102;EA285103;EA285104;EA285106;EA285110;EA285112;EA285107,2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,2.0,min,NDAUXUAQIAJITI-UHFFFAOYSA-N,[M+H]+,C13H21NO3
EA15000827,EA023909;EA023910;EA023906;EA023905;EA023902;EA023904;EA023908;EA023907;EA023912;EA023911;EA023903;EA023913,2140,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,1.6,min,YVPYQUNUQOZFHG-UHFFFAOYSA-N,[M+H]+,C11H9I3N2O4
EA50384360,EA084506;EA084513;EA084511;EA084502;EA084503;EA084508;EA084507;EA084504;EA084510;EA084509;EA084505;EA084512,2151,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N,2.6,min,RLFWWDJHLFCNIJ-UHFFFAOYSA-N,[M+H]+,C11H13N3O
EA10757939,EA285202;EA285207;EA285212;EA285204;EA285206;EA285210;EA285205;EA285203;EA285211;EA285213;EA285209;EA285208,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,3.8,min,NTJOBXMMWNYJFB-UHFFFAOYSA-N,[M+H]+,C17H27N3O4S
EA02958512,EA282112;EA282110;EA282107;EA282106;EA282104;EA282102;EA282108;EA282105;EA282109;EA282111;EA282113;EA282103,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,8.6,min,KRMDCWKBEZIMAB-UHFFFAOYSA-N,[M+H]+,C20H23N
EA72299524,EA033802;EA033812;EA033804;EA033811;EA033810;EA033807;EA033803;EA033805;EA033808;EA033813;EA033806;EA033809,2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2,4.6,min,VEQOALNAAJBPNY-UHFFFAOYSA-N,[M+H]+,C11H12N2O
EA43640711,EA016912;EA016911;EA016913;EA016910;EA016909;EA016904;EA016908;EA016907;EA016902;EA016905;EA016903;EA016906,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2.0,min,METKIMKYRPQLGS-UHFFFAOYSA-N,[M+H]+,C14H22N2O3
EA44032252,EA028807;EA028802;EA028809;EA028804;EA028810;EA028811;EA028805;EA028806;EA028803;EA028813;EA028808;EA028812,2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,8.3,min,MXWJVTOOROXGIU-UHFFFAOYSA-N,[M+H]+,C8H14ClN5
EA52690471,EA025305;EA025303;EA025313;EA025312;EA025307;EA025310;EA025302;EA025304;EA025309;EA025308;EA025311;EA025306,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,7.5,min,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,[M+H]+,C10H12N2O3S
EA40199161,EA282307;EA282309;EA282311;EA282313;EA282303;EA282312;EA282302;EA282308;EA282306;EA282304;EA282310;EA282305,2340,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)O,4.6,min,GVGYEFKIHJTNQZ-UHFFFAOYSA-N,[M+H]+,C16H19NO4
EA07465022,EA030304;EA030307;EA030311;EA030308;EA030305;EA030312;EA030306;EA030302;EA030303;EA030313;EA030310;EA030309,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,4.0,min,RYYVLZVUVIJVGH-UHFFFAOYSA-N,[M+H]+,C8H10N4O2
EA19401118,EA067402;EA067407;EA067412;EA067406;EA067404;EA067411;EA067410;EA067413;EA067403;EA067408;EA067409;EA067405,2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,7.3,min,SGTNSNPWRIOYBX-UHFFFAOYSA-N,[M+H]+,C27H38N2O4
EA42471845,EA280405;EA280412;EA280408;EA280410;EA280413;EA280406;EA280402;EA280409;EA280404;EA280407;EA280411;EA280403,2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,9.3,min,HTQMVQVXFRQIKW-UHFFFAOYSA-N,[M+H]+,C24H20N6O3
