accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
ET91308060,ET140105;ET140103;ET140102;ET140104;ET140101,173313,C[N+](CC#C)(CC1=CC=CC=C1)[O-],9.3,min,NZCJCBZLNHDNCR-UHFFFAOYSA-N,[M+H]+,C11H13NO
ET72303598,ET050301;ET050305;ET050303;ET050304;ET050302,200718,CC(CC1=CC=CC=C1)NCC#C,10.5,min,UUFAJPMQSFXDFR-UHFFFAOYSA-N,[M+H]+,C12H15N
ET89121445,ET150204;ET150205;ET150202;ET150201;ET150203,222605,C[N+](C)(CCC(C1=CC=CC=C1)C2=CC=CC=N2)[O-],10.5,min,OBBDJQMNZLQVAZ-UHFFFAOYSA-N,[M+H]+,C16H20N2O
ET23022763,ET130704;ET130706;ET130705;ET130702;ET130703;ET130701,247831,C1=CC=C(C(=C1)NCC(=O)O)Cl,15.8,min,NSDVLRONTCKCPY-UHFFFAOYSA-N,[M+H]+,C8H8ClNO2
ET19857784,ET130102;ET130101;ET130104;ET130105;ET130106;ET130103,258328,CC(=O)N1CCN(CC1)C2=CC=CC=C2Cl,16.8,min,LBSHKCUTMCYUOW-UHFFFAOYSA-N,[M+H]+,C12H15ClN2O
ET52833856,ET080101;ET080104;ET080105;ET080103;ET080102,3036923,CC[N+](CC)(CC(=O)NC1=C(C=CC=C1C)C)[O-],11.2,min,YDVXPJXUHRROBA-UHFFFAOYSA-N,[M+H]+,C14H22N2O2
ET64358998,ET100002;ET100004;ET100005;ET100003;ET100001,3058751,C1=CC=C(C=C1)[C@H](CCN)OC2=CC=C(C=C2)C(F)(F)F,14.8,min,WIQRCHMSJFFONW-HNNXBMFYSA-N,[M+H]+,C16H16F3NO
ET13642662,ET120102;ET120101;ET120105;ET120103;ET120104,3451347,CNCC(C1=CC=C(C=C1)O)C2(CCCCC2)O,11.0,min,MMSWXJSQCAEDLK-UHFFFAOYSA-N,[M+H]+,C15H23NO2
ET91016651,ET120004;ET120002;ET120005;ET120003;ET120001,3501942,CNCC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,12.9,min,MKAFOJAJJMUXLW-UHFFFAOYSA-N,[M+H]+,C16H25NO2
ET00729131,ET110903,10443138,C1=CC=C(C=C1)C(CC=O)C2=CC=CC=N2,9.8,min,NIUINLYXRYRLBJ-UHFFFAOYSA-N,[M+H]+,C14H13NO
ET49767632,ET130402;ET130404;ET130401;ET130403;ET130405;ET130406,11264593,C1CN(CCN1C=O)C2=CC(=CC=C2)Cl,16.4,min,IGIBHEMNRYAZQH-UHFFFAOYSA-N,[M+H]+,C11H13ClN2O
ET39586820,ET050104;ET050101;ET050103;ET050102;ET050105,11447032,CC(CC1=CC=CC=C1)[N+](C)(CC#C)[O-],11.2,min,IVFPCTFUZXEDKP-UHFFFAOYSA-N,[M+H]+,C13H17NO
ET59714997,ET140206;ET140202;ET140203;ET140201;ET140204;ET140205,13658161,C#CCN(CC1=CC=CC=C1)C=O,15.0,min,MOSRXMRJDACECK-UHFFFAOYSA-N,[M+H]+,C11H11NO
ET33088897,ET170301;ET170305;ET170306;ET170302;ET170303;ET170304,14076877,CN(C)CCN(CC1=CC=C(C=C1)O)C2=CC=CC=N2,8.8,min,FCFBHFOEKQWQBR-UHFFFAOYSA-N,[M+H]+,C16H21N3O
ET95907114,ET130303;ET130302;ET130306;ET130305;ET130301;ET130304,17279890,C1CN(CCN1C2=CC=CC=C2Cl)C(=O)/C=C/C(=O)O,17.0,min,AXXAWJZEEQXNHQ-AATRIKPKSA-N,[M+H]+,C14H15ClN2O3
ET16843527,ET130206;ET130201;ET130205;ET130204;ET130202;ET130203,28830401,C1CN(CCN1C2=CC=CC=C2Cl)C(=O)CCC(=O)O,16.3,min,FMKKWAHJJLLAOW-UHFFFAOYSA-N,[M+H]+,C14H17ClN2O3
ET68580170,ET130604;ET130605;ET130602;ET130606;ET130603;ET130601,62230060,C1CN(CCN1C2=CC=CC=C2Cl)C(=O)CC(=O)O,16.0,min,XHCNVUPFYLKTEJ-UHFFFAOYSA-N,[M+H]+,C13H15ClN2O3
ET86032012,ET020004;ET020002;ET020001;ET020003;ET020005,71312596,CC(C)CCNCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,12.2,min,KWAPEXIWYNEGAV-UHFFFAOYSA-N,[M+H]+,C13H20Cl2N2O
ET08328389,ET190202;ET190203;ET190205;ET190204;ET190201,76559643,C[N+](C)(CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O)[O-],13.3,min,LASJEFFANGIOGZ-UHFFFAOYSA-N,[M+H]+,C17H27NO3
ET72225559,ET050606;ET050605;ET050604;ET050603;ET050602;ET050601,133052751,CC(CC1=CC=CC=C1)N(CC#C)C(=O)C,16.3,min,JJOSIKPABYYKOP-UHFFFAOYSA-N,[M+H]+,C14H17NO
ET13680591,ET080403,133052752,CCN(CC(=O)NC1=C(C=CC=C1C)C)C=C,14.5,min,TXEIHNNJACYVDP-UHFFFAOYSA-N,[M+H]+,C14H20N2O
ET81857098,ET170405;ET170403;ET170406;ET170404;ET170401;ET170402,133052763,COC1=CC=C(C=C1)CN(CC(=O)O)C2=CC=CC=N2,11.5,min,PPJDHLMQESOTEN-UHFFFAOYSA-N,[M+H]+,C15H16N2O3
ET15792702,ET171004;ET171005;ET171006;ET171001;ET171002;ET171003,133052764,CN(CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2)C=O,10.5,min,AGBYYCMLOLWSPS-UHFFFAOYSA-N,[M+H]+,C17H21N3O2
