accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
AU55620611,AU112601,1983,CC(=O)NC1=CC=C(C=C1)O,3.6,min,RZVAJINKPMORJF-UHFFFAOYSA-N,[M+H]+,C8H9NO2
AU66076822,AU105805;AU105804,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,9.4,min,HXHWSAZORRCQMX-UHFFFAOYSA-N,[M+H]+,C12H15N3O2S
AU10594639,AU110001;AU110002,2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,3.1,min,NDAUXUAQIAJITI-UHFFFAOYSA-N,[M+H]+,C13H21NO3
AU41148328,AU110601,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,3.3,min,METKIMKYRPQLGS-UHFFFAOYSA-N,[M+H]+,C14H22N2O3
AU63141858,AU117304;AU117302;AU117305;AU117303,2442,CN(CC1=CC(=CC(=C1N)Br)Br)C2CCCCC2,10.1,min,OJGDCBLYJGHCIH-UHFFFAOYSA-N,[M+H]+,C14H20Br2N2
AU74989611,AU112002;AU112005;AU112001;AU112004;AU112003,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,7.3,min,FFGPTBGBLSHEPO-UHFFFAOYSA-N,[M+H]+,C15H12N2O
AU16784360,AU112103;AU112105;AU112102;AU112104,2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,9.4,min,ZPEIMTDSQAKGNT-UHFFFAOYSA-N,[M+H]+,C17H19ClN2S
AU86936215,AU109901,2783,CC(C)(C)NCC(C1=CC(=C(C(=C1)Cl)N)Cl)O,4.9,min,STJMRWALKKWQGH-UHFFFAOYSA-N,[M+H]+,C12H18Cl2N2O
AU82957344,AU113602;AU113603;AU113605;AU113601;AU113604,2871,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,11.0,min,BXNANOICGRISHX-UHFFFAOYSA-N,[M+H]+,C14H16ClO5PS
AU47450940,AU102401,2955,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,4.2,min,MQJKPEGWNLWLTK-UHFFFAOYSA-N,[M+H]+,C12H12N2O2S
AU68633736,AU114705;AU114703;AU114704;AU114702;AU114701,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,10.2,min,DCOPUUMXTXDBNB-UHFFFAOYSA-N,[M+H]+,C14H11Cl2NO2
AU42404971,AU106204;AU106205;AU106203;AU106202;AU106201,3334,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,10.1,min,HDDSHPAODJUKPD-UHFFFAOYSA-N,[M+H]+,C15H13N3O2S
AU87927430,AU103004;AU103005,3374,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,7.3,min,DPSPPJIUMHPXMA-UHFFFAOYSA-N,[M+H]+,C14H12FNO3
AU63423755,AU112204;AU112205;AU112202;AU112201;AU112203,3559,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,7.5,min,LNEPOXFFQSENCJ-UHFFFAOYSA-N,[M+H]+,C21H23ClFNO2
AU40327104,AU111104;AU111101;AU111102;AU111103;AU111105,3702,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,6.6,min,NDDAHWYSQHTHNT-UHFFFAOYSA-N,[M+H]+,C16H16ClN3O3S
AU79653428,AU115002;AU115003;AU115001,3825,CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O,8.4,min,DKYWVDODHFEZIM-UHFFFAOYSA-N,[M+H]+,C16H14O3
