accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
AC80919438,AC000542;AC000540;AC000541;AC000544;AC000543,91617,C[C@H](CC1=C(C(=C2C(=O)C=C3C4=C5C(=CC(=O)C6=C(C(=C(C(=C56)C1=C42)C[C@@H](C)O)OC)O)OCO3)O)OC)O,3.63,min,MXLWQNCWIIZUQT-GHMZBOCLSA-N,[M+H]+,C29H26O10
AC94726161,AC000701;AC000700;AC000704;AC000702;AC000703,99586,CC1=CC(=O)C2=C(O1)C=C3C(=C2O)C(=O)C(=C(C3=O)OC)C4=C(C(=O)C5=CC6=C(C(=O)C=C(O6)C)C(=C5C4=O)O)OC,3.68,min,VSWWTKVILIZDGX-UHFFFAOYSA-N,[M+H]+,C30H18O12
AC44754086,AC000329;AC000331;AC000330;AC000328;AC000327,104843,CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C)NC(=O)[C@H]4CN([C@@H]5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,2.58,min,BGHDUTQZGWOQIA-VQSKNWBGSA-N,[M+H]+,C29H35N5O5
AC07194938,AC000332;AC000333;AC000334;AC000336;AC000335,105137,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C)NC(=O)[C@H]4CN([C@@H]5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,2.66,min,NESVMZOPWPCFAU-ZPRCMDFASA-N,[M+H]+,C30H37N5O5
AC80470662,AC000849;AC000851;AC000847;AC000848;AC000850,115033,C1=CC=C2C(=C1)C(=C(C(=O)N2)O)C3=CC(=CC=C3)O,2.98,min,QIJIOTTYIGBOQA-UHFFFAOYSA-N,[M+H]+,C15H11NO3
AC70688508,AC000095;AC000097;AC000096;AC000098;AC000099,115285,C[C@@]12CCCC([C@H]3[C@@H]1[C@@H](C[C@@]2(C3O)C)O)(C)C,3.53,min,VWMGBHVRRNKOAE-PDMNRUCYSA-N,[M+H]+,C15H26O2
AC70874514,AC000697;AC000696;AC000699;AC000695;AC000698,122734,CCCCCCCCC(=O)C1=C(OC(=CC1=O)C=O)OC,4.04,min,YTVPBUCDNKECDB-UHFFFAOYSA-N,[M+H]+,C16H22O5
AC79297821,AC000711;AC000710;AC000709;AC000713;AC000712,124319,CC(=O)OC[C@H](CC1=CC=CC=C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3,3.75,min,VZPAURMDJZOGHU-SKCDSABHSA-N,[M+H]+,C27H28N2O4
AC85770023,AC000854;AC000855;AC000856;AC000853;AC000852,131349,CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,2.94,min,VFMQMACUYWGDOJ-AWEZNQCLSA-N,[M+H]+,C16H17NO4
AC95295783,AC000340;AC000341;AC000338;AC000337;AC000339,134551,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=CNC7=CC=CC(=C67)C5=C4)C)O,2.75,min,YDOTUXAWKBPQJW-NSLWYYNWSA-N,[M+H]+,C32H41N5O5
AC93962589,AC000188;AC000186;AC000185;AC000187,159926,CC1=C(C=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)OC)O,3.79,min,FKTPLNFTYJEAAB-UHFFFAOYSA-N,[M+H]+,C16H12O5
AC87512531,AC000454;AC000456;AC000453;AC000457;AC000455,164754,CC(C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,4.78,min,MIZMDSVSLSIMSC-VYLWARHZSA-N,[M+H]+,C33H57N3O9
AC03138761,AC000461;AC000460;AC000458;AC000459,164754,CC(C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,4.78,min,MIZMDSVSLSIMSC-VYLWARHZSA-N,[M+Na]+,C33H57N3O9
AC38306175,AC000717;AC000715;AC000714;AC000716;AC000718,185904,C1=CC=C(C=C1)C[C@@H](CO)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)C3=CC=CC=C3,3.45,min,KSVKECXWDNCRTM-GOTSBHOMSA-N,[M+H]+,C25H26N2O3
AC12724585,AC000018;AC000019;AC000020;AC000016;AC000017,186907,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,3.1,min,OQIQSTLJSLGHID-WNWIJWBNSA-N,[M+H]+,C17H12O6
AC28661674,AC000023;AC000024;AC000021;AC000025;AC000022,186907,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,3.1,min,OQIQSTLJSLGHID-WNWIJWBNSA-N,[M+Na]+,C17H12O6
AC61804563,AC000721;AC000720;AC000722;AC000719;AC000723,188287,C1=CC(=C(C=C1O)CO)O,2.35,min,PUZSUVGRVHEUQO-UHFFFAOYSA-N,[M+H]+,C7H8O3
AC21312719,AC000687;AC000686;AC000688;AC000689,304248,CC1C(C2=C(O1)C3=C4C(=C2O)C(=CC(=O)C4=C(C(=C3O)O)OC)C)(C)C,4.35,min,RFUGLBPILINWDW-UHFFFAOYSA-N,[M+H]+,C20H20O6
AC63941149,AC000143;AC000141;AC000140;AC000144;AC000142,304599,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,2.46,min,XGCUCFKWVIWWNW-CAYGJDLQSA-N,[M+H]+,C17H22O8
AC87311264,AC000146;AC000149;AC000145;AC000148;AC000147,304599,CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,2.46,min,XGCUCFKWVIWWNW-CAYGJDLQSA-N,[M+Na]+,C17H22O8
AC40234594,AC000871;AC000870;AC000868;AC000867;AC000869,354160,CN1C(=O)C2=CC=CC=C2NC(=O)C13[C@H](O3)C4=CC=CC=C4,3.06,min,APLKWZASYUZSBL-XPCCGILXSA-N,[M+H]+,C17H14N2O3
AC54375194,AC000946;AC000947;AC000950;AC000948;AC000949,424453,CC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC2=CC=CC=C2)CC3=CC=CC=C3)C(C)C,3.8,min,OWKLJRMFTXDULF-UHFFFAOYSA-N,[M+H]+,C28H36N4O4
AC35427629,AC000510;AC000511;AC000508;AC000512;AC000509,441140,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,3.32,min,DDUHZTYCFQRHIY-RBHXEPJQSA-N,[M+H]+,C17H17ClO6
AC82477621,AC000204;AC000206;AC000207;AC000205;AC000208,442530,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl,3.6,min,RWQKHEORZBHNRI-BMIGLBTASA-N,[M+H]+,C20H18ClNO6
AC44033352,AC000212;AC000211;AC000209;AC000210;AC000213,442530,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl,3.6,min,RWQKHEORZBHNRI-BMIGLBTASA-N,[M+Na]+,C20H18ClNO6
AC94750590,AC000728;AC000724;AC000726;AC000727;AC000725,443592,CC(C)CCCCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O1)CC(C)C)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)O,5.05,min,NJGWOFRZMQRKHT-WGVNQGGSSA-N,[M+H]+,C53H93N7O13
AC52982888,AC000729;AC000730;AC000732;AC000731,443592,CC(C)CCCCCCCCC[C@@H]1CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)O1)CC(C)C)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)O,5.05,min,NJGWOFRZMQRKHT-WGVNQGGSSA-N,[M+Na]+,C53H93N7O13
AC86998564,AC000317;AC000313;AC000314;AC000316;AC000315,443884,C[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,2.26,min,WVVSZNPYNCNODU-XTQGRXLLSA-N,[M+H]+,C19H23N3O2
AC33146003,AC000682;AC000684;AC000681;AC000683;AC000685,446541,CC1=C(C(=C(C2=C1COC2=O)O)C/C=C(\C)/CCC(=O)O)OC,3.36,min,HPNSFSBZBAHARI-RUDMXATFSA-N,[M+Na]+,C17H20O6
AC69156360,AC000800;AC000799;AC000798;AC000796;AC000797,609665,CCOC(=O)C(CC1=CC=CC=C1)NC(=O)C2=C(C3=C(CC(OC3=O)C)C=C2)O,3.2,min,XXAVUHHKDMGGBR-UHFFFAOYSA-N,[M+H]+,C22H23NO6
AC48488521,AC000075;AC000074;AC000073;AC000071;AC000072,638296,C[C@]12CCC[C@H](O1)C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=C(C=C5C4=O)O)O,4.27,min,RYFFZJHGQCKWMV-YUNKPMOVSA-N,[M+H]+,C20H16O7
AC02912414,AC000668;AC000666;AC000670;AC000667;AC000669,1268111,CC(=C)C(=O)/C(=C/C(=O)O)/OC,2.61,min,VOUGEZYPVGAPBB-XQRVVYSFSA-N,[M+H]+,C8H10O4
AC49593270,AC000029;AC000028;AC000026;AC000027,2724360,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5CCO[C@@H]5OC4=C1,3.0,min,WWSYXEZEXMQWHT-WNWIJWBNSA-N,[M+H]+,C17H14O6
AC60856569,AC000030;AC000031,2724360,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5CCO[C@@H]5OC4=C1,3.0,min,WWSYXEZEXMQWHT-WNWIJWBNSA-N,[M+Na]+,C17H14O6
AC11446538,AC000032;AC000033;AC000034,2724361,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,3.04,min,XWIYFDMXXLINPU-WNWIJWBNSA-N,[M+H]+,C17H12O7
AC66919385,AC000037;AC000035;AC000036,2724361,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,3.04,min,XWIYFDMXXLINPU-WNWIJWBNSA-N,[M+Na]+,C17H12O7
AC35768808,AC000039;AC000038;AC000040,2724362,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4[C@@H]5CCO[C@@H]5OC4=C1,2.95,min,WPCVRWVBBXIRMA-WNWIJWBNSA-N,[M+H]+,C17H14O7
AC52676831,AC000043;AC000041;AC000042,2724362,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4[C@@H]5CCO[C@@H]5OC4=C1,2.95,min,WPCVRWVBBXIRMA-WNWIJWBNSA-N,[M+Na]+,C17H14O7
AC64546081,AC000475;AC000474;AC000473;AC000472;AC000471,2733487,CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)C[C@@H](CCCC[C@H](C[C@@H]([C@H](C)N)O)O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,2.71,min,UVBUBMSSQKOIBE-DSLOAKGESA-N,[M+H]+,C34H59NO15
AC88015411,AC000476;AC000479;AC000478;AC000477,2733487,CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)C[C@@H](CCCC[C@H](C[C@@H]([C@H](C)N)O)O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,2.71,min,UVBUBMSSQKOIBE-DSLOAKGESA-N,[M+Na]+,C34H59NO15
AC88192074,AC000482;AC000484;AC000483;AC000481;AC000480,2733489,CCCC[C@@H](C)[C@H]([C@H](C[C@@H](C)CCCCCC[C@H](C[C@@H]([C@H](C)N)O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O)OC(=O)C[C@@H](CC(=O)O)C(=O)O,2.88,min,UXDPXZQHTDAXOZ-STOIETHLSA-N,[M+H]+,C34H59NO14
