accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
UF85666701,UF407301;UF407302,298,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],19.347,min,WIIZWVCIJKGZOK-UHFFFAOYSA-N,[M+H]+,C11H12Cl2N2O5
UF00057277,UF406602;UF406601,1302,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,24.337,min,CMWTZPSULFXXJA-UHFFFAOYSA-N,[M+H]+,C14H14O3
UF90776986,UF409102;UF409101,1983,CC(=O)NC1=CC=C(C=C1)O,8.61,min,RZVAJINKPMORJF-UHFFFAOYSA-N,[M+H]+,C8H9NO2
UF27355247,UF414702;UF414701,2130,C1C2CC3CC1CC(C2)(C3)N,15.657,min,DKNWSYNQZKUICI-UHFFFAOYSA-N,[M+H]+,C10H17N
UF73449534,UF408302;UF408301,2151,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N,7.553,min,RLFWWDJHLFCNIJ-UHFFFAOYSA-N,[M+H]+,C11H13N3O
UF01199565,UF406802;UF406801,2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2,16.961,min,VEQOALNAAJBPNY-UHFFFAOYSA-N,[M+H]+,C11H12N2O
UF13306561,UF407602;UF407601,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,6.668,min,METKIMKYRPQLGS-UHFFFAOYSA-N,[M+H]+,C14H22N2O3
UF49087847,UF403302;UF403301,2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,23.294,min,MXWJVTOOROXGIU-UHFFFAOYSA-N,[M+H]+,C8H14ClN5
UF87358811,UF402401;UF402402,2314,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,21.559,min,XEGGRYVFLWGFHI-UHFFFAOYSA-N,[M+H]+,C11H13NO4
UF09713697,UF408901;UF408902,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,15.78,min,RYYVLZVUVIJVGH-UHFFFAOYSA-N,[M+H]+,C8H10N4O2
