accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
AU03982816,AU150405;AU150403;AU150406;AU150404;AU150402;AU150401,2160,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,8.015,min,KRMDCWKBEZIMAB-UHFFFAOYSA-N,[M+H]+,C20H23N
AU66139432,AU154406,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,8.589,min,HTIQEAQVCYTUBX-UHFFFAOYSA-N,[M+H]+,C20H25ClN2O5
AU37485039,AU275003;AU275004;AU275001;AU275002;AU275005;AU275006,2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,4.884,min,YBBLVLTVTVSKRW-UHFFFAOYSA-N,[M+H]+,C17H19N5
AU76778991,AU227301;AU227306;AU227304;AU265201;AU265205;AU265204;AU227305;AU265206;AU227303;AU227302;AU265202;AU265203,2206,CC1=CC(=O)N(N1C)C2=CC=CC=C2,4.679,min,VEQOALNAAJBPNY-UHFFFAOYSA-N,[M+H]+,C11H12N2O
AU11792953,AU110605;AU110604;AU110603;AU110602,2249,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,3.0,min,METKIMKYRPQLGS-UHFFFAOYSA-N,[M+H]+,C14H22N2O3
AU17071333,AU310905;AU310901;AU310904;AU310906;AU310902;AU310903,2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,8.0,min,MXWJVTOOROXGIU-UHFFFAOYSA-N,[M+H]+,C8H14ClN5
AU63006708,AU273404;AU273403;AU273405;AU273402;AU273406;AU273401,2267,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,7.45,min,MBUVEWMHONZEQD-UHFFFAOYSA-N,[M+H]+,C22H24ClN3O
AU45222628,AU260102;AU260106;AU260103;AU260104;AU260101;AU260105,2268,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,8.895,min,CJJOSEISRRTUQB-UHFFFAOYSA-N,[M+H]+,C10H12N3O3PS2
AU51548232,AU105201,2269,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,5.633,min,MQTOSJVFKKJCRP-UHFFFAOYSA-N,[M+H]+,C38H72N2O12
AU77333480,AU581052;AU581050;AU581049;AU581053;AU581051,2286,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,10.814,min,LCFVJGUPQDGYKZ-UHFFFAOYSA-N,[M+NH4]+,C21H24O4
AU18429035,AU260602;AU260601;AU260606;AU260605;AU260603;AU260604,2314,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,6.988,min,XEGGRYVFLWGFHI-UHFFFAOYSA-N,[M+H]+,C11H13NO4
AU76551202,AU231302;AU231304;AU231306;AU231301;AU231303,2328,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,5.47,min,ZOMSMJKLGFBRBS-UHFFFAOYSA-N,[M+H]+,C10H12N2O3S
AU71343364,AU216901;AU216902,2332,C1=CC=C(C=C1)C(=N)N,2.842,min,PXXJHWLDUBFPOL-UHFFFAOYSA-N,[M+H]+,C7H8N2
AU23376789,AU284002;AU284003;AU284001;AU284004,2335,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2,11.427,min,SIYLLGKDQZGJHK-UHFFFAOYSA-N,[M+H]+,C27H42NO2+
AU00643083,AU272604;AU272602;AU272606;AU272601;AU272603;AU272605,2337,CCOC(=O)C1=CC=C(C=C1)N,6.261,min,BLFLLBZGZJTVJG-UHFFFAOYSA-N,[M+H]+,C9H11NO2
AU73933790,AU234903;AU234906;AU234901,2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,0.261,min,LKJPYSCBVHEWIU-UHFFFAOYSA-N,[M+H]+,C18H14F4N2O4S
AU76469094,AU251001;AU251006;AU251004;AU251002;AU251003;AU251005,2378,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,10.555,min,OCAPBUJLXMYKEJ-UHFFFAOYSA-N,[M+H]+,C22H18N2
AU89709015,AU267706;AU267705;AU267701;AU267704;AU267702;AU267703,2405,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,5.721,min,VHYCDWMUTMEGQY-UHFFFAOYSA-N,[M+H]+,C18H31NO4
AU68877352,AU151506,2441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,7.342,min,VMIYHDSEFNYJSL-UHFFFAOYSA-N,[M+H]+,C14H10BrN3O
AU19189263,AU276603;AU276601;AU276602;AU276606,2519,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,3.075,min,RYYVLZVUVIJVGH-UHFFFAOYSA-N,[M+H]+,C8H10N4O2
AU26607042,AU226006;AU226005;AU226001;AU226003;AU226004;AU226002,2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,6.926,min,SGTNSNPWRIOYBX-UHFFFAOYSA-N,[M+H]+,C27H38N2O4
AU22956602,AU213702;AU213703;AU213704;AU213706;AU213701;AU213705,2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,7.7,min,HTQMVQVXFRQIKW-UHFFFAOYSA-N,[M+H]+,C24H20N6O3
AU25364230,AU112006,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,7.504,min,FFGPTBGBLSHEPO-UHFFFAOYSA-N,[M+H]+,C15H12N2O
AU88630527,AU203802;AU203805;AU203801;AU203804;AU203803,2555,C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N,5.9,min,ZRWWEEVEIOGMMT-UHFFFAOYSA-N,[M+H]+,C15H12N2O2
AU58802534,AU235602;AU235605;AU235603;AU235606;AU235601;AU235604,2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,10.242,min,RZEKVGVHFLEQIL-UHFFFAOYSA-N,[M+H]+,C17H14F3N3O2S
AU03851683,AU212406,2678,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,8.892,min,ZKLPARSLTMPFCP-UHFFFAOYSA-N,[M+H]+,C21H25ClN2O3
AU24731002,AU284302;AU284304;AU284306;AU284301;AU284303;AU284305,2681,CCCCCCCCCCCCCCCC[N+](C)(C)C,12.819,min,RLGQACBPNDBWTB-UHFFFAOYSA-N,[M+H]+,C19H42N+
AU03670415,AU262303;AU262305;AU262306;AU262301;AU262302,2728,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,9.773,min,CWJSHJJYOPWUGX-UHFFFAOYSA-N,[M+H]+,C10H12ClNO2
AU20388966,AU102601;AU102604;AU102605;AU102603;AU102602,2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,4.363,min,MYSWGUAQZAJSOK-UHFFFAOYSA-N,[M+H]+,C17H18FN3O3
