accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
AU15543426,AU510707,199,C(CCN=C(N)N)CN,16.61,min,QYPPJABKJHAVHS-UHFFFAOYSA-N,[M+H]+,C5H14N4
AU88952874,AU530907,774,C1=C(NC=N1)CCN,12.147,min,NTYJJOPFIAHURM-UHFFFAOYSA-N,[M+H]+,C5H9N3
AU07404708,AU515307,791,CCC(C)C(C(=O)O)N,7.082,min,AGPKZVBTJJNPAG-UHFFFAOYSA-N,[M+H]+,C6H13NO2
AU90073961,AU510909;AU510908,1001,C1=CC=C(C=C1)CCN,6.28,min,BHHGXPLMPWCGHP-UHFFFAOYSA-N,[M+H]+,C8H11N
AU66707503,AU215108;AU215107;AU215110;AU215109;AU215111,1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,1.766,min,FSQKKOOTNAMONP-UHFFFAOYSA-N,[M+H]+,C21H18ClNO6
AU93278130,AU311110;AU311109;AU311108;AU311107,1982,CC(=O)NP(=O)(OC)SC,1.729,min,YASYVMFAVPKPKE-UHFFFAOYSA-N,[M+H]+,C4H10NO3PS
AU67452806,AU216909;AU216911;AU216910,2332,C1=CC=C(C=C1)C(=N)N,6.683,min,PXXJHWLDUBFPOL-UHFFFAOYSA-N,[M+H]+,C7H8N2
AU49180977,AU213717;AU213709;AU213707;AU213718;AU213708,2541,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,2.618,min,HTQMVQVXFRQIKW-UHFFFAOYSA-N,[M+H]+,C24H20N6O3
AU19498215,AU203808;AU203809;AU203807;AU203810;AU203811,2555,C1=CC=C2C(=C1)C3C(O3)C4=CC=CC=C4N2C(=O)N,2.482,min,ZRWWEEVEIOGMMT-UHFFFAOYSA-N,[M+H]+,C15H12N2O2
AU22385344,AU154007;AU154008,3007,CC(CC1=CC=CC=C1)N,6.481,min,KWTSXDURSIMDCE-UHFFFAOYSA-N,[M+H]+,C9H13N
AU20259286,AU300908;AU300910;AU300911;AU300909;AU300907,3082,CNC(=O)CSP(=S)(OC)OC,1.465,min,MCWXGJITAZMZEV-UHFFFAOYSA-N,[M+H]+,C5H12NO3PS2
AU55635927,AU120707;AU120710;AU120708;AU120711;AU120709,3168,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,6.33,min,RMEDXOLNCUSCGS-UHFFFAOYSA-N,[M+H]+,C22H22FN3O2
AU68505154,AU163109;AU163107;AU163111;AU163110;AU163108,3393,CCN(CC)CCN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3F,5.829,min,SAADBVWGJQAEFS-UHFFFAOYSA-N,[M+H]+,C21H23ClFN3O
AU10823783,AU209407;AU209409;AU209410;AU209408;AU209411,3749,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,1.579,min,YOSHYTLCDANDAN-UHFFFAOYSA-N,[M+H]+,C25H28N6O
AU24748219,AU223007;AU223008,3772,C1CNCCC1C(=O)N,8.186,min,DPBWFNDFMCCGGJ-UHFFFAOYSA-N,[M+H]+,C6H12N2O
AU57144069,AU162510;AU162509;AU162508;AU162507;AU162511,3981,CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C,6.23,min,VAYOSLLFUXYJDT-UHFFFAOYSA-N,[M+H]+,C20H25N3O
AU47994840,AU222109;AU222111;AU222107;AU222108;AU222110,4011,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,6.044,min,QSLMDECMDJKHMQ-UHFFFAOYSA-N,[M+H]+,C20H23N
AU82094045,AU155907;AU155910;AU155911;AU155909;AU155908,4192,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,1.98,min,DDLIGBOFAVUZHB-UHFFFAOYSA-N,[M+H]+,C18H13ClFN3
AU06637110,AU155109;AU155107;AU155108;AU155110;AU155111,4205,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,6.029,min,RONZAEMNMFQXRA-UHFFFAOYSA-N,[M+H]+,C17H19N3
AU99906810,AU220211;AU220208;AU220209;AU220212;AU220210,4891,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,1.515,min,FSVJFNAIGNNGKK-UHFFFAOYSA-N,[M+H]+,C19H24N2O2
AU99236623,AU150511;AU150507;AU150510;AU150508;AU150509,5073,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,6.332,min,RAPZEAPATHNIPO-UHFFFAOYSA-N,[M+H]+,C23H27FN4O2
AU74969971,AU510508;AU510507;AU510509,5610,C1=CC(=CC=C1CCN)O,6.53,min,DZGWFCGJZKJUFP-UHFFFAOYSA-N,[M+H]+,C8H11NO
AU63092119,AU219609;AU219607;AU219608;AU219610;AU219611,5865,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,1.715,min,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,[M+H]+,C21H26O5
